cid,firstlast,lastname,office,gender,first_elected,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00044245,Jerry Carl,Carl,AL01,M,2020,202225-4931,202225-0562,https://carl.house.gov/,,"1330 Longworth House Office Building, Washington, DC 20515",C001054,,,@RepJerryCarl,,RepJerryCarl,06/17/58
N00041295,Barry Moore,Moore,AL02,M,2020,202225-2901,,https://barrymoore.house.gov/,,"1504 Longworth House Office Building, Washington, DC 20515",M001212,,,@RepBarryMoore,,,09/02/66
N00024759,Mike D Rogers,Rogers,AL03,M,2002,202-225-3261,202-226-8485,https://mikerogers.house.gov,http://mike-rogers.house.gov/contact-mike/email-me,2184 Rayburn House Office Building,R000575,5705,H2AL03032,RepMikeRogersAL,https://youtube.com/MikeRogersAL03,CongressmanMikeDRogers,1958-07-16
N00003028,Robert B Aderholt,Aderholt,AL04,M,1996,202-225-4876,202-225-5587,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,235 Cannon House Office Building,A000055,441,H6AL04098,Robert_Aderholt,https://youtube.com/RobertAderholt,RobertAderholt,1965-07-22
N00048145,Dale Strong,Strong,AL05,M,2022,,,,,,,,,,,,
N00035691,Gary Palmer,Palmer,AL06,M,2014,202-225-4921,202-225-2082,https://palmer.house.gov,,330 Cannon House Office Building,P000609,,H4AL06098,USRepGaryPalmer,,CongressmanGaryPalmer,1954-05-14
N00030622,Terri Sewell,Sewell,AL07,F,2010,202-225-2665,202-226-9567,https://sewell.house.gov,https://sewell.house.gov/email-me,2201 Rayburn House Office Building,S001185,121621,H0AL07086,RepTerriSewell,https://youtube.com/RepSewell,RepSewell,1965-01-01
N00044434,Tommy Tuberville,Tuberville,ALS1,M,2020,202224-4124,,https://www.tuberville.senate.gov/,,"Dirksen Senate Office Building Suite B40A   Washington, DC 20510",T000278,188306,,@SenTuberville,,,09/18/54
N00048812,Katie Britt,Britt,ALS2,F,2022,,,,,,,,,,,,
N00050780,Mary Peltola,Peltola,AK01,F,2022,,,,,,,,,,,,
N00035774,Dan Sullivan,Sullivan,AKS1,M,2014,202-224-3004,,https://www.sullivan.senate.gov,https://www.sullivan.senate.gov/contact/email,702 Hart Senate Office Building,S001198,,S4AK00214,SenDanSullivan,,SenDanSullivan,1964-11-13
N00026050,Lisa Murkowski,Murkowski,AKS2,F,2002,202-224-6665,202-224-5301,https://www.murkowski.senate.gov,https://www.murkowski.senate.gov/public/index.cfm/contact,522 Hart Senate Office Building,M001153,15841,S4AK00099,LisaMurkowski,https://youtube.com/senatormurkowski,SenLisaMurkowski,1957-05-22
N00006460,David Schweikert,Schweikert,AZ01,M,2010,202-225-2190,202-225-0096,https://schweikert.house.gov,https://schweikert.house.gov/contact-form,2059 Rayburn House Office Building,S001183,106387,H4AZ06045,RepDavid,https://youtube.com/RepDavidSchweikert,repdavidschweikert,1962-03-03
N00048953,Eli Crane,Crane,AZ02,M,2022,,,,,,,,,,,,
N00036097,Ruben Gallego,Gallego,AZ03,M,2014,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,,H4AZ07043,RepRubenGallego,,RepRubenGallego,1979-11-20
N00041750,Greg Stanton,Stanton,AZ04,M,2018,202-225-9888,,https://stanton.house.gov/,,128 Cannon House Office Building,S001211,,,RepGregStanton,,,1970-03-08
N00039293,Andy Biggs,Biggs,AZ05,M,2016,202-225-2635,,https://biggs.house.gov,,1626 Longworth House Office Building,B001302,,,RepAndyBiggsAZ,,RepAndyBiggs,1958-11-07
N00049039,Juan Ciscomani,Ciscomani,AZ06,M,2022,,,,,,,,,,,,
N00025284,Raul M Grijalva,Grijalva,AZ07,M,2002,202-225-2435,202-225-1541,https://grijalva.house.gov,https://grijalvaforms.house.gov/email-raul,1511 Longworth House Office Building,G000551,28253,H2AZ07070,RepRaulGrijalva,https://youtube.com/raulgrijalvaaz07,Rep.Grijalva,1948-02-19
N00042056,Debbie Lesko,Lesko,AZ08,F,2018,202-225-4576,,https://lesko.house.gov/,,1113 Longworth House Office Building,L000589,,,RepDLesko,,RepDebbieLesko,1958-11-14
N00030771,Paul Gosar,Gosar,AZ09,M,2010,202-225-2315,202-226-9739,http://gosar.house.gov,https://gosar.house.gov/contact-me/email-me,2057 Rayburn House Office Building,G000565,123491,H0AZ01259,RepGosar,https://youtube.com/repgosar,repgosar,1958-11-22
N00044223,Mark Kelly,Kelly,AZS1,M,2020,202224-2235,,https://www.kelly.senate.gov/,,"Dirksen Senate Office Building Suite B40B   Washington, DC 20510",K000377,,,@SenMarkKelly,,,02/21/64
N00033983,Kyrsten Sinema,Sinema,AZS2,F,2018,202-225-9888,202-225-9731,https://sinema.house.gov,https://sinemaforms.house.gov/forms/writeyourrep/,1725 Longworth House Office Building,S001191,28338,H2AZ09019,RepSinema,https://youtube.com/repsinema,CongresswomanSinema,1976-07-12
N00030770,Rick Crawford,Crawford,AR01,M,2010,202-225-4076,202-225-5602,http://crawford.house.gov,http://crawford.house.gov/contact/,2422 Rayburn House Office Building,C001087,119208,H0AR01083,RepRickCrawford,https://youtube.com/RepRickCrawford,RepRickCrawford,1966-01-22
N00035792,French Hill,Hill,AR02,M,2014,202-225-2506,202-225-5903,https://hill.house.gov,,1229 Longworth House Office Building,H001072,,H4AR02141,RepFrenchHill,,RepFrenchHill,1956-12-05
N00031857,Steve Womack,Womack,AR03,M,2010,202-225-4301,202-225-5713,http://womack.house.gov,https://womack.house.gov/contact/contactform.htm,2412 Rayburn House Office Building,W000809,71815,H0AR03055,Rep_SteveWomack,https://youtube.com/CongressmanWomack,RepSteveWomack,1957-02-18
N00035527,Bruce Westerman,Westerman,AR04,M,2014,202-225-3772,,https://westerman.house.gov,,130 Cannon House Office Building,W000821,,H4AR04048,RepWesterman,,RepWesterman,1967-11-18
N00033363,Tom Cotton,Cotton,ARS1,M,2014,202-224-2353,,https://www.cotton.senate.gov,http://www.cotton.senate.gov/?p=contact,124 Russell Senate Office Building,C001095,135651,H2AR04083,SenTomCotton,https://youtube.com/RepTomCotton,SenatorTomCotton,1977-05-13
N00013873,John Boozman,Boozman,ARS2,M,2010,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/index.cfm/contact,141 Hart Senate Office Building,B001236,27958,H2AR03176,JohnBoozman,https://youtube.com/BoozmanPressOffice,JohnBoozman,1950-12-10
N00033987,Doug LaMalfa,Lamalfa,CA01,M,2012,202-225-3076,530-534-7800,http://lamalfa.house.gov,https://lamalfa.house.gov/contact/email-me,322 Cannon House Office Building,L000578,29713,H2CA02142,RepLaMalfa,https://youtube.com/RepLaMalfa,RepLaMalfa,1960-07-02
N00033030,Jared Huffman,Huffman,CA02,M,2012,202-225-5161,202-225-5163,http://huffman.house.gov,https://huffman.house.gov/contact/email-me,1406 Longworth House Office Building,H001068,59849,H2CA06259,RepHuffman,https://youtube.com/rephuffman,RepHuffman,1964-02-18
N00050259,Kevin Kiley,Kiley,CA03,M,2022,,,,,,,,,,,,
N00007419,Mike Thompson,Thompson,CA04,M,1998,202-225-3311,202-225-4335,http://mikethompson.house.gov,https://mikethompson.house.gov/contact/email-me,231 Cannon House Office Building,T000460,3564,H8CA01109,RepThompson,https://youtube.com/CongressmanMThompson,RepMikeThompson,1951-01-24
N00006863,Tom McClintock,Mcclintock,CA05,M,2008,202-225-2511,202-225-5444,http://mcclintock.house.gov,https://mcclintockforms.house.gov/forms/contact-form.shtml,2312 Rayburn House Office Building,M001177,9715,H8CA04152,RepMcClintock,https://youtube.com/McClintockCA04,Congressman-Tom-McClintock-81125319109,1956-07-10
N00030717,Ami Bera,Bera,CA06,M,2012,202-225-5716,202-226-1298,http://bera.house.gov,https://beraforms.house.gov/forms/writeyourrep/,1431 Longworth House Office Building,B001287,120030,H0CA03078,RepBera,https://youtube.com/repamibera,RepAmiBera,1965-03-02
N00027459,Doris Matsui,Matsui,CA07,F,2005,202-225-7163,202-225-0566,https://matsui.house.gov,https://matsui.house.gov/email-representative-matsui,2311 Rayburn House Office Building,M001163,28593,H6CA05195,DorisMatsui,https://youtube.com/RepDorisMatsui,doris.matsui,1944-09-25
N00030856,John Garamendi,Garamendi,CA08,M,2009,202-225-1880,202-225-5914,http://garamendi.house.gov,https://garamendi.house.gov/contact-me/email-me,2438 Rayburn House Office Building,G000559,29664,H0CA10149,RepGaramendi,https://youtube.com/garamendiCA10,repgaramendi,1945-01-24
N00040853,Josh Harder,Harder,CA09,M,2018,202-225-4540,,https://harder.house.gov/,,131 Cannon House Office Building,H001090,,,RepJoshHarder,,,1986-08-01
N00030709,Mark Desaulnier,Desaulnier,CA10,M,2014,202-225-2095,202-225-5609,https://desaulnier.house.gov,,115 Cannon House Office Building,D000623,,H0CA10073,RepDeSaulnier,,RepMarkDeSaulnier,1952-03-31
N00007360,Nancy Pelosi,Pelosi,CA11,F,1987,202-225-4965,202-225-8259,http://pelosi.house.gov,http://pelosi.house.gov/contact-me/email-me,233 Cannon House Office Building,P000197,26732,H8CA05035,NancyPelosi,https://youtube.com/nancypelosi,NancyPelosi,1940-03-26
N00008046,Barbara Lee,Lee,CA12,F,1998,202-225-2661,202-225-9817,https://lee.house.gov,http://lee.house.gov/contact-the-office/email-me,2267 Rayburn House Office Building,L000551,8315,H8CA09060,RepBarbaraLee,https://youtube.com/RepLee,RepBarbaraLee,1946-07-16
N00050562,John Duarte,Duarte,CA13,M,2022,,,,,,,,,,,,
N00033508,Eric Swalwell,Swalwell,CA14,M,2012,202-225-5065,,https://swalwell.house.gov,http://swalwell.house.gov/contact-me/email-eric/,129 Cannon House Office Building,S001193,129529,H2CA15094,RepSwalwell,https://youtube.com/ericswalwell,CongressmanEricSwalwell,1980-11-16
N00049438,Kevin Mullin,Mullin,CA15,M,2022,,,,,,,,,,,,
N00007335,Anna Eshoo,Eshoo,CA16,F,1992,202-225-8104,202-225-8890,http://eshoo.house.gov,https://eshoo.house.gov/email-me/,241 Cannon House Office Building,E000215,26741,H8CA12098,RepAnnaEshoo,https://youtube.com/RepAnnaEshoo,RepAnnaEshoo,1942-12-13
N00026427,Ro Khanna,Khanna,CA17,M,2016,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,,,RepRoKhanna,,RepRoKhanna,1976-09-13
N00007479,Zoe Lofgren,Lofgren,CA18,F,1994,202-225-3072,202-225-3336,https://lofgren.house.gov,http://lofgren.house.gov/contact/,1401 Longworth House Office Building,L000397,21899,H4CA16049,RepZoeLofgren,https://youtube.com/RepZoeLofgren,zoelofgren,1947-12-21
N00038601,Jimmy Panetta,Panetta,CA19,M,2016,202-225-2861,,https://panetta.house.gov,,228 Cannon House Office Building,P000613,,,RepJimmyPanetta,,RepJimmyPanetta,1969-10-01
N00028152,Kevin McCarthy,Mccarthy,CA20,M,2006,202-225-2915,202-225-2908,http://kevinmccarthy.house.gov,https://kevinmccarthy.house.gov/contact/email-me,2421 Rayburn House Office Building,M001165,28918,H6CA22125,GOPLeader,https://youtube.com/repkevinmccarthy,CongressmanKevinMcCarthy,1965-01-26
N00026341,Jim Costa,Costa,CA21,M,2004,202-225-3341,202-225-9308,https://costa.house.gov,http://www.house.gov/formcosta/issue.htm,2081 Rayburn House Office Building,C001059,3577,H4CA20082,RepJimCosta,https://youtube.com/RepJimCostaCA20,RepJimCosta,1952-04-13
N00033367,David Valadao,Valadao,CA22,M,2012,202-225-4695,202-226-3196,http://valadao.house.gov,http://valadao.house.gov/contact/,1728 Longworth House Office Building,V000129,120200,H2CA20094,RepDavidValadao,https://youtube.com/congressmanvaladao,CongressmanDavidValadao,1977-04-14
N00045377,Jay Obernolte,Obernolte,CA23,M,2020,202-225-5861,,https://obernolte.house.gov/,,"1029 Longworth House Office Building, Washington, DC 20515",O000019,,,@JayObernolte,,,08/18/70
N00037015,Salud Carbajal,Carbajal,CA24,M,2016,202-225-3601,,https://carbajal.house.gov,,212 Cannon House Office Building,C001112,,,RepCarbajal,,repsaludcarbajal,1964-11-18
