"Candidate","Total"
"Adam Smith (D-Wash)","$5000"
"Mike Thompson (D-Calif)","$5000"
"David Shapiro (D-Fla)","$4215"
"Ann Kirkpatrick (D-Ariz)","$3250"
"Colin Allred (D-Texas)","$3000"
"Anthony Brindisi (D-NY)","$3000"
"Lisa Brown (D-Wash)","$3000"
"Antonio Delgado (D-NY)","$3000"
"Lizzie Fletcher (D-Texas)","$3000"
"Katie Hill (D-Calif)","$3000"
"Chrissy Houlahan (D-Pa)","$3000"
"Andy Kim (D-NJ)","$3000"
"Mike Levin (D-Calif)","$3000"
"Lucy McBath (D-Ga)","$3000"
"Amy McGrath (D-Ky)","$3000"
"Chris Pappas (D-NH)","$3000"
"Katie Porter (D-Calif)","$3000"
"Harley Rouda (D-Calif)","$3000"
"Elissa Slotkin (D-Mich)","$3000"
"Jennifer Wexton (D-Va)","$3000"
"Gil Cisneros (D-Calif)","$2500"
"Angie Craig (D-Minn)","$2500"
"Jason Crow (D-Colo)","$2500"
"Dan Donovan (R-NY)","$2500"
"Veronica Escobar (D-Texas)","$2500"
"Susie Lee (D-Nev)","$2500"
"Mikie Sherrill (D-NJ)","$2500"
"Cindy Axne (D-Iowa)","$2000"
"Mary Barzee Flores (D-Fla)","$2000"
"Randy Bryce (D-Wis)","$2000"
"Salud Carbajal (D-Calif)","$2000"
"David Cicilline (D-RI)","$2000"
"TJ Cox (D-Calif)","$2000"
"Sharice Davids (D-Kan)","$2000"
"Ted Deutch (D-Fla)","$2000"
"Debbie Dingell (D-Mich)","$2000"
"Kara Eastman (D-Neb)","$2000"
"Brian Fitzpatrick (R-Pa)","$2000"
"Josh Harder (D-Calif)","$2000"
"Hakeem Jeffries (D-NY)","$2000"
"Gina Jones (D-Texas)","$2000"
"Robin Kelly (D-Ill)","$2000"
"Pete King (R-NY)","$2000"
"Leonard Lance (R-NJ)","$2000"
"Betsy Dirksen Londrigan (D-Ill)","$2000"
"Elaine Luria (D-Va)","$2000"
"Kathy Manning (D-NC)","$2000"
"Donald McEachin (D-Va)","$2000"
"Stephanie Murphy (D-Fla)","$2000"
"Tom O'Halleran (D-Ariz)","$2000"
"Aftab Pureval (D-Ohio)","$2000"
"Cedric Richmond (D-La)","$2000"
"Linda Sanchez (D-Calif)","$2000"
"Kim Schrier (D-Wash)","$2000"
"Abigail Spanberger (D-Va)","$2000"
"Haley Stevens (D-Mich)","$2000"
"Lauren A Underwood (D-Ill)","$2000"
"Kathleen Williams (D-Mont)","$2000"
"Pete Aguilar (D-Calif)","$1000"
"Dana Balter (D-NY)","$1000"
"Ami Bera (D-Calif)","$1000"
"Cheri Bustos (D-Ill)","$1000"
"Andre Carson (D-Ind)","$1000"
"Ed Case (D-Hawaii)","$1000"
"Katherine Clark (D-Mass)","$1000"
"Linda Coleman (D-NC)","$1000"
"Jim Cooper (D-Tenn)","$1000"
"Jim Costa (D-Calif)","$1000"
"Joe Courtney (D-Conn)","$1000"
"Carlos Curbelo (R-Fla)","$1000"
"Madeleine Dean (D-Pa)","$1000"
"Peter DeFazio (D-Ore)","$1000"
"Suzan DelBene (D-Wash)","$1000"
"Ruben Gallego (D-Ariz)","$1000"
"Sylvia Garcia (D-Texas)","$1000"
"Josh Gottheimer (D-NJ)","$1000"
"Debra Haaland (D-NM)","$1000"
"Jahana Hayes (D-Conn)","$1000"
"Brian Higgins (D-NY)","$1000"
"Jim Himes (D-Conn)","$1000"
"Steven Horsford (D-Nev)","$1000"
"Chris Hunter (D-Fla)","$1000"
"Dan Kildee (D-Mich)","$1000"
"Ann Kuster (D-NH)","$1000"
"Rick Larsen (D-Wash)","$1000"
"Matt Longjohn (D-Mich)","$1000"
"Ben R Lujan (D-NM)","$1000"
"Joseph Neguse (D-Colo)","$1000"
"Danny O'Connor (D-Ohio)","$1000"
"Peter Roskam (R-Ill)","$1000"
"Tim Ryan (D-Ohio)","$1000"
"Mary Gay Scanlon (D-Pa)","$1000"
"Brad Schneider (D-Ill)","$1000"
"George Scott (D-Pa)","$1000"
"Terri A Sewell (D-Ala)","$1000"
"Donna Shalala (D-Fla)","$1000"
"Chris Smith (R-NJ)","$1000"
"Nancy Soderberg (D-Fla)","$1000"
"Greg Stanton (D-Ariz)","$1000"
"Tom Suozzi (D-NY)","$1000"
"Rashida Tlaib (D-Mich)","$1000"
"Norma Torres (D-Calif)","$1000"
"Lori Trahan (D-Mass)","$1000"
"Cort Vanostran (D-Mo)","$1000"
"Filemon Vela (D-Texas)","$1000"
"Susan Wild (D-Pa)","$1000"
"Ryan Costello (R-Pa)","$0"
"Elizabeth Esty (D-Conn)","$0"
"Patrick Meehan (R-Pa)","$0"
"Xochitl Torres Small (D-NM)","$0"
