"Candidate","Total"
"Max Rose (D-NY)","$13000"
"Jason Crow (D-Colo)","$10250"
"Colin Allred (D-Texas)","$10000"
"Cindy Axne (D-Iowa)","$10000"
"Carolyn Bourdeaux (D-Ga)","$10000"
"Gil Cisneros (D-Calif)","$10000"
"Sharice Davids (D-Kan)","$10000"
"Wendy Davis (D-Texas)","$10000"
"Eugene DePasquale (D-Pa)","$10000"
"Brian Fitzpatrick (R-Pa)","$10000"
"Jackie Gordon (D-NY)","$10000"
"Steven Horsford (D-Nev)","$10000"
"Gina Ortiz Jones (D-Texas)","$10000"
"Robin Kelly (D-Ill)","$10000"
"Andy Kim (D-NJ)","$10000"
"Susie Lee (D-Nev)","$10000"
"Mike Levin (D-Calif)","$10000"
"Tom Malinowski (D-NJ)","$10000"
"Lucy McBath (D-Ga)","$10000"
"Grace Meng (D-NY)","$10000"
"Debbie Mucarsel-Powell (D-Fla)","$10000"
"Katie Porter (D-Calif)","$10000"
"Hillary Scholten (D-Mich)","$10000"
"Mikie Sherrill (D-NJ)","$10000"
"Haley Stevens (D-Mich)","$10000"
"Hiral Tipirneni (D-Ariz)","$10000"
"Susan Wild (D-Pa)","$10000"
"Amy Kennedy (D-NJ)","$9500"
"Abigail Spanberger (D-Va)","$9300"
"Antonio Delgado (D-NY)","$9000"
"David Cicilline (D-RI)","$8500"
"Veronica Escobar (D-Texas)","$8500"
"Josh Harder (D-Calif)","$8500"
"Carolyn B Maloney (D-NY)","$8500"
"Eric Swalwell (D-Calif)","$8000"
"Lauren A Underwood (D-Ill)","$8000"
"Carolyn Long (D-Wash)","$7500"
"Christy Smith (D-Calif)","$7500"
"Tom Suozzi (D-NY)","$7500"
"Brendan Boyle (D-Pa)","$6000"
"Matt Cartwright (D-Pa)","$6000"
"Joaquin Castro (D-Texas)","$6000"
"Hakeem Jeffries (D-NY)","$6000"
"Elaine Luria (D-Va)","$6000"
"Harley Rouda (D-Calif)","$6000"
"Greg Stanton (D-Ariz)","$6000"
"Diane Mitsch Bush (D-Colo)","$5000"
"Ed Case (D-Hawaii)","$5000"
"James E Clyburn (D-SC)","$5000"
"Bonnie Watson Coleman (D-NJ)","$5000"
"TJ Cox (D-Calif)","$5000"
"Angie Craig (D-Minn)","$5000"
"Ted Deutch (D-Fla)","$5000"
"Kara Eastman (D-Neb)","$5000"
"Daniel Feehan (D-Minn)","$5000"
"Abby Finkenauer (D-Iowa)","$5000"
"Lizzie Fletcher (D-Texas)","$5000"
"Nancy Goroff (D-NY)","$5000"
"Christina Hale (D-Ind)","$5000"
"Rita Hart (D-Iowa)","$5000"
"Steny H Hoyer (D-Md)","$5000"
"Sri Kulkarni (D-Texas)","$5000"
"Sima Ladjevardian (D-Texas)","$5000"
"John Lewis (D-Ga)","$5000"
"Kathy Manning (D-NC)","$5000"
"Nate McMurray (D-NY)","$5000"
"Stephanie Murphy (D-Fla)","$5000"
"Jerrold Nadler (D-NY)","$5000"
"Deborah Ross (D-NC)","$5000"
"Kate Schroder (D-Ohio)","$5000"
"Mike Siegel (D-Texas)","$5000"
"Patricia Timmons-Goodson (D-NC)","$5000"
"Candace Valenzuela (D-Texas)","$5000"
"Cameron Webb (D-Va)","$5000"
"Jennifer Wexton (D-Va)","$4650"
"Jamie Raskin (D-Md)","$4500"
"Tim Ryan (D-Ohio)","$3800"
"Jahana Hayes (D-Conn)","$3000"
"Gregory W Meeks (D-NY)","$3000"
"Sean Casten (D-Ill)","$2500"
"Michelle De La Isla (D-Kan)","$2500"
"Joyce Elliott (D-Ark)","$2500"
"Teresa Leger Fernandez (D-NM)","$2500"
"Rhonda Foxx (D-NC)","$2500"
"Ruben Gallego (D-Ariz)","$2500"
"Josh Gottheimer (D-NJ)","$2500"
"Debra Haaland (D-NM)","$2500"
"Chrissy Houlahan (D-Pa)","$2500"
"Pramila Jayapal (D-Wash)","$2500"
"Marie Newman (D-Ill)","$2500"
"Frank Pallone Jr. (D-NJ)","$2500"
"Chris Pappas (D-NH)","$2500"
"Qasim Rashid (D-Va)","$2500"
"Adam Schiff (D-Calif)","$2500"
"Kim Schrier (D-Wash)","$2500"
"Donna Shalala (D-Fla)","$2500"
"Dina Titus (D-Nev)","$2500"
"Ritchie Torres (D-NY)","$2500"
"Tricia Zunker (D-Wis)","$2500"
"Don Beyer (D-Va)","$2000"
"Vicente Gonzalez (D-Texas)","$2000"
"G K Butterfield (D-NC)","$1500"
"Lloyd Doggett (D-Texas)","$1500"
"Sylvia Garcia (D-Texas)","$1500"
"Al Green (D-Texas)","$1500"
"Hank Johnson (D-Ga)","$1500"
"Lori Trahan (D-Mass)","$1500"
"Marc Veasey (D-Texas)","$1500"
"Filemon Vela (D-Texas)","$1500"
"Joyce Beatty (D-Ohio)","$1000"
"Salud Carbajal (D-Calif)","$1000"
"Henry Cuellar (D-Texas)","$1000"
"Marcia L Fudge (D-Ohio)","$1000"
"Katie Hill (D-Calif)","$1000"
"Jim Himes (D-Conn)","$1000"
"Sheila Jackson Lee (D-Texas)","$1000"
"Eddie Bernice Johnson (D-Texas)","$1000"
"Jim Langevin (D-RI)","$1000"
"Barbara Lee (D-Calif)","$1000"
"Andy Levin (D-Mich)","$1000"
"Eleanor Holmes Norton (D-DC)","$1000"
"Lisa Blunt Rochester (D-Del)","$1000"
"Jan Schakowsky (D-Ill)","$1000"
"Elissa Slotkin (D-Mich)","$1000"
"Mark Takano (D-Calif)","$1000"
"Brian Mast (R-Fla)","-$2800"
