"Candidate","Total"
"Nancy Pelosi (D-Calif)","$10000"
"Lucy McBath (D-Ga)","$5000"
"Brian Fitzpatrick (R-Pa)","$4000"
"Sharice Davids (D-Kan)","$3000"
"Rosa DeLauro (D-Conn)","$3000"
"Jahana Hayes (D-Conn)","$3000"
"Sheila Jackson Lee (D-Texas)","$3000"
"Robin Kelly (D-Ill)","$3000"
"Jerrold Nadler (D-NY)","$3000"
"Chris Pappas (D-NH)","$3000"
"Mike Thompson (D-Calif)","$3000"
"Lauren A Underwood (D-Ill)","$3000"
"Debbie Wasserman Schultz (D-Fla)","$2899"
"Josh Harder (D-Calif)","$2833"
"Mike Levin (D-Calif)","$2833"
"Katie Porter (D-Calif)","$2833"
"Annette Taddeo (D-Fla)","$2040"
"Colin Allred (D-Texas)","$2000"
"Cindy Axne (D-Iowa)","$2000"
"Salud Carbajal (D-Calif)","$2000"
"Sean Casten (D-Ill)","$2000"
"David Cicilline (D-RI)","$2000"
"Katherine Clark (D-Mass)","$2000"
"James E Clyburn (D-SC)","$2000"
"Angie Craig (D-Minn)","$2000"
"Jason Crow (D-Colo)","$2000"
"Debbie Dingell (D-Mich)","$2000"
"Veronica Escobar (D-Texas)","$2000"
"Teresa Leger Fernandez (D-NM)","$2000"
"Lizzie Fletcher (D-Texas)","$2000"
"Maxwell Frost (D-Fla)","$2000"
"Steven Horsford (D-Nev)","$2000"
"Chrissy Houlahan (D-Pa)","$2000"
"Steny H Hoyer (D-Md)","$2000"
"Pramila Jayapal (D-Wash)","$2000"
"Hakeem Jeffries (D-NY)","$2000"
"Andy Kim (D-NJ)","$2000"
"Susie Lee (D-Nev)","$2000"
"Elaine Luria (D-Va)","$2000"
"Tom Malinowski (D-NJ)","$2000"
"Sean Patrick Maloney (D-NY)","$2000"
"Kathy Manning (D-NC)","$2000"
"Joseph Neguse (D-Colo)","$2000"
"Ayanna Pressley (D-Mass)","$2000"
"Jamie Raskin (D-Md)","$2000"
"Deborah Ross (D-NC)","$2000"
"Mary Gay Scanlon (D-Pa)","$2000"
"Kim Schrier (D-Wash)","$2000"
"Mikie Sherrill (D-NJ)","$2000"
"Elissa Slotkin (D-Mich)","$2000"
"Chris Smith (R-NJ)","$2000"
"Abigail Spanberger (D-Va)","$2000"
"Haley Stevens (D-Mich)","$2000"
"Dina Titus (D-Nev)","$2000"
"Susan Wild (D-Pa)","$2000"
"Nikema Williams (D-Ga)","$2000"
"Jared Moskowitz (D-Fla)","$1450"
"Pete Aguilar (D-Calif)","$1000"
"Jake Auchincloss (D-Mass)","$1000"
"Joyce Beatty (D-Ohio)","$1000"
"Christina Bohannan (D-Iowa)","$1000"
"Carolyn Bourdeaux (D-Ga)","$1000"
"Jamaal Bowman (D-NY)","$1000"
"Shontel Brown (D-Ohio)","$1000"
"Julia Brownley (D-Calif)","$1000"
"Nikki Budzinski (D-Ill)","$1000"
"Cori Bush (D-Mo)","$1000"
"Yadira Caraveo (D-Colo)","$1000"
"Matt Cartwright (D-Pa)","$1000"
"Greg Casar (D-Texas)","$1000"
"Jay Chen (D-Calif)","$1000"
"Judy Chu (D-Calif)","$1000"
"Francis Conole (D-NY)","$1000"
"Jasmine Crockett (D-Texas)","$1000"
"Madeleine Dean (D-Pa)","$1000"
"Peter DeFazio (D-Ore)","$1000"
"Christopher Deluzio (D-Pa)","$1000"
"Dwight Evans (D-Pa)","$1000"
"Valerie Foushee (D-NC)","$1000"
"Lois Frankel (D-Fla)","$1000"
"Robert Garcia (D-Calif)","$1000"
"Laura Gillen (D-NY)","$1000"
"Carlos Gimenez (R-Fla)","$1000"
"Dan Goldman (D-NY)","$1000"
"Vicente Gonzalez (D-Texas)","$1000"
"Val Hoyle (D-Ore)","$1000"
"Jeff Jackson (D-NC)","$1000"
"Jonathan Jackson (D-Ill)","$1000"
"Sara Jacobs (D-Calif)","$1000"
"Mondaire Jones (D-NY)","$1000"
"Kai Kahele (D-Hawaii)","$1000"
"Sydney Kamlager (D-Calif)","$1000"
"Dan Kildee (D-Mich)","$1000"
"Ron Kind (D-Wis)","$1000"
"Summer Lee (D-Pa)","$1000"
"Seth Magaziner (D-RI)","$1000"
"Liz Mathis (D-Iowa)","$1000"
"Donald McEachin (D-Va)","$1000"
"Morgan McGarvey (D-Ky)","$1000"
"Rob Menendez (D-NJ)","$1000"
"Kweisi Mfume (D-Md)","$1000"
"Seth Moulton (D-Mass)","$1000"
"Frank Mrvan Jr (D-Ind)","$1000"
"Stephanie Murphy (D-Fla)","$1000"
"Marie Newman (D-Ill)","$1000"
"Wiley Nickel (D-NC)","$1000"
"Frank Pallone Jr. (D-NJ)","$1000"
"Brittany Pettersen (D-Colo)","$1000"
"Delia Ramirez (D-Ill)","$1000"
"Josh Riley (D-NY)","$1000"
"Lisa Blunt Rochester (D-Del)","$1000"
"Raul Ruiz (D-Calif)","$1000"
"Dutch Ruppersberger (D-Md)","$1000"
"Pat Ryan (D-NY)","$1000"
"Rudy Salas (D-Calif)","$1000"
"Maria Salazar (R-Fla)","$1000"
"Andrea Salinas (D-Ore)","$1000"
"Adam Schiff (D-Calif)","$1000"
"Hillary Scholten (D-Mich)","$1000"
"Christy Smith (D-Calif)","$1000"
"Eric Sorensen (D-Ill)","$1000"
"Melanie Stansbury (D-NM)","$1000"
"Marilyn Strickland (D-Wash)","$1000"
"Emilia Sykes (D-Ohio)","$1000"
"Jill Tokuda (D-Hawaii)","$1000"
"Ritchie Torres (D-NY)","$1000"
"Lori Trahan (D-Mass)","$1000"
"Fred Upton (R-Mich)","$1000"
"Gabe Vasquez (D-NM)","$1000"
"Jennifer Wexton (D-Va)","$1000"
"Antonio Delgado (D-NY)","$0"
