"Candidate","Total"
"Jennifer Wexton (D-Va)","$7600"
"Antonio Delgado (D-NY)","$6800"
"Harley Rouda (D-Calif)","$6700"
"Josh Harder (D-Calif)","$5575"
"Jason Crow (D-Colo)","$5000"
"Katie Hill (D-Calif)","$5000"
"Steven Horsford (D-Nev)","$5000"
"Joseph Kopser (D-Texas)","$5000"
"Nate McMurray (D-NY)","$5000"
"Katie Porter (D-Calif)","$5000"
"David Shapiro (D-Fla)","$5000"
"Andy Kim (D-NJ)","$4750"
"Susan Wild (D-Pa)","$4175"
"Abigail Spanberger (D-Va)","$3346"
"Mike Levin (D-Calif)","$2571"
"Mary Barzee Flores (D-Fla)","$2522"
"Joe Kennedy III (D-Mass)","$2500"
"Elaine Luria (D-Va)","$2436"
"Susie Lee (D-Nev)","$2000"
"Amy McGrath (D-Ky)","$1500"
"Jessica Morse (D-Calif)","$1269"
"Mikie Sherrill (D-NJ)","$1134"
"Colin Allred (D-Texas)","$1000"
"Don Beyer (D-Va)","$1000"
"Ammar Campa-Najjar (D-Calif)","$1000"
"David Cicilline (D-RI)","$1000"
"Chrissy Houlahan (D-Pa)","$1000"
"Stephanie Murphy (D-Fla)","$1000"
"Jerrold Nadler (D-NY)","$1000"
"Mary Gay Scanlon (D-Pa)","$1000"
"Dina Titus (D-Nev)","$1000"
"Tom Malinowski (D-NJ)","$937"
"Ami Bera (D-Calif)","$242"
"Gil Cisneros (D-Calif)","$0"
