"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"McBath Lucy","$3221","$2921","$300","Candidate (D-GA06)","Democrat","Cand","House"
"Malinowski Tom","$1805","$805","$1000","Candidate (D-NJ07)","Democrat","Cand","House"
"Levin Mike","$1781","$781","$1000","Candidate (D-CA49)","Democrat","Cand","House"
"Kim Andy","$1595","$595","$1000","Candidate (D-NJ03)","Democrat","Cand","House"
"Porter Katie","$1525","$525","$1000","Candidate (D-CA45)","Democrat","Cand","House"
"Rosen Jacky","$1506","$506","$1000","Candidate (D-NV03)","Democrat","Cand","House"
"Delgado Antonio","$1430","$430","$1000","Candidate (D-NY19)","Democrat","Cand","House"
"Schrier Kim","$1130","$130","$1000","Candidate (D-WA08)","Democrat","Cand","House"
"Long Carolyn","$1114","$114","$1000","Candidate (D-WA03)","Democrat","Cand","House"
"O'Rourke Beto","$1100","$1100","$0","Candidate (D-TX16)","Democrat","Cand","House"
"Brown Lisa","$1100","$100","$1000","Candidate (D-WA05)","Democrat","Cand","House"
"Pureval Aftab","$1064","$64","$1000","Candidate (D-OH01)","Democrat","Cand","House"
"Stevens Haley","$1055","$55","$1000","Candidate (D-MI11)","Democrat","Cand","House"
"Fletcher Lizzie","$1039","$39","$1000","Candidate (D-TX07)","Democrat","Cand","House"
"Spanberger Abigail","$1029","$29","$1000","Candidate (D-VA07)","Democrat","Cand","House"
"Cockburn Leslie","$1018","$18","$1000","Candidate (D-VA05)","Democrat","Cand","House"
"Luria Elaine","$1014","$14","$1000","Candidate (D-VA02)","Democrat","Cand","House"
"Hill Katie","$1010","$10","$1000","Candidate (D-CA25)","Democrat","Cand","House"
"Wexton Jennifer","$1006","$6","$1000","Candidate (D-VA10)","Democrat","Cand","House"
"Allred Colin","$1006","$6","$1000","Candidate (D-TX32)","Democrat","Cand","House"
"Wild Susan","$1006","$6","$1000","Candidate (D-PA15)","Democrat","Cand","House"
