"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Roy Chip","$10350","$350","$10000","Candidate (R-TX21)","Republican","Cand","House"
"Marchant Jim","$10000","$0","$10000","Candidate (R-NV04)","Republican","Cand","House"
"Rosendale Matt","$10000","$0","$10000","Candidate (R-MT01)","Republican","Cand","House"
"Freitas Nick","$10000","$0","$10000","Candidate (R-VA07)","Republican","Cand","House"
"Herrell Yvette","$10000","$0","$10000","Candidate (R-NM02)","Republican","Cand","House"
"Rodimer Dan","$10000","$0","$10000","Candidate (R-NV03)","Republican","Cand","House"
"Massie Thomas","$5000","$0","$5000","Candidate (R-KY04)","Republican","Cand","House"
"Greene Marjorie Taylor","$5000","$0","$5000","Candidate (R-GA14)","Republican","Cand","House"
"Owens Burgess","$5000","$0","$5000","Candidate (R-UT04)","Republican","Cand","House"
"Mooney Alex","$5000","$0","$5000","Candidate (R-WV02)","Republican","Cand","House"
"Good Bob","$5000","$0","$5000","Candidate (R-VA05)","Republican","Cand","House"
"Boebert Lauren","$5000","$0","$5000","Candidate (R-CO03)","Republican","Cand","House"
"Spartz Victoria","$5000","$0","$5000","Candidate (R-IN05)","Republican","Cand","House"
"Garcia Mike","$5000","$0","$5000","Candidate (R-CA25)","Republican","Cand","House"
"Marshall Roger","$5000","$0","$5000","Candidate (R-KS01)","Republican","Cand","House"
"Parnell Sean","$5000","$0","$5000","Candidate (R-PA17)","Republican","Cand","House"
"Clyde Andrew","$5000","$0","$5000","Candidate (R-GA09)","Republican","Cand","House"
"Perry Scott","$5000","$0","$5000","Candidate (R-PA10)","Republican","Cand","House"
"Murphy Greg","$500","$0","$500","Candidate (R-NC03)","Republican","Cand","House"
"Luna Anna Paulina","$150","$150","$0","Candidate (R-FL13)","Republican","Cand","House"
"Knight Steve","-$2000","$0","-$2000","Candidate (R-CA25)","Republican","Cand","House"
