"Candidate","Total"
"Matt Rosendale (R-Mont)","$5000"
"Jake Laturner (R-Kan)","$4500"
"Thomas Massie (R-Ky)","$4500"
"Scott Perry (R-Pa)","$4000"
"Nick Freitas (R-Va)","$3500"
"Marjorie Taylor Greene (R-Ga)","$3000"
"Eric Brakey (R-Maine)","$2000"
"Paul Broun (R-Ga)","$2000"
"Louis B Gohmert Jr. (R-Texas)","$2000"
"Matt Gurtler (R-Ga)","$2000"
"Steven A. King (R-Iowa)","$2000"
"Andy Biggs (R-Ariz)","$1000"
"Lauren Boebert (R-Colo)","$1000"
"Andrew Clyde (R-Ga)","$1000"
"Jim Jordan (R-Ohio)","$1000"
"Jeff Moore (R-NC)","$1000"
"Teddy Daniels (R-Pa)","$500"
"Chris Putnam (R-Texas)","$500"
"Kathaleen Wall (R-Texas)","$500"
