"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Hudson Richard","$9900","$0","$9900","Candidate (R-NC08)","Republican","Cand","House"
"Hagedorn Jim","$9900","$0","$9900","Candidate (R-MN01)","Republican","Cand","House"
"Peterson Collin","$9900","$0","$9900","Candidate (D-MN07)","Democrat","Cand","House"
"Bishop Dan","$8200","$1250","$6950","Candidate (R-NC09)","Republican","Cand","House"
"McCarthy Kevin","$6950","$4950","$2000","Candidate (R-CA23)","Republican","Cand","House"
"Perry Scott","$5950","$0","$5950","Candidate (R-PA10)","Republican","Cand","House"
"Jordan Jim","$5950","$0","$5950","Candidate (R-OH04)","Republican","Cand","House"
"Mace Nancy","$5950","$0","$5950","Candidate (R-SC01)","Republican","Cand","House"
"Marshall Roger","$5950","$0","$5950","Candidate (R-KS01)","Republican","Cand","House"
"Collins Genevieve","$5650","$700","$4950","Candidate (R-TX32)","Republican","Cand","House"
"Adkins Amanda","$4975","$25","$4950","Candidate (R-KS03)","Republican","Cand","House"
"Handel Karen","$4950","$0","$4950","Candidate (R-GA06)","Republican","Cand","House"
"Valadao David","$4950","$0","$4950","Candidate (R-CA21)","Republican","Cand","House"
"McCormick Richard","$4950","$0","$4950","Candidate (R-GA07)","Republican","Cand","House"
"Herrell Yvette","$4950","$0","$4950","Candidate (R-NM02)","Republican","Cand","House"
"Steel Michelle","$4950","$0","$4950","Candidate (R-CA48)","Republican","Cand","House"
"Gonzales Tony","$4950","$0","$4950","Candidate (R-TX23)","Republican","Cand","House"
"Rosendale Matt","$4950","$0","$4950","Candidate (R-MT01)","Republican","Cand","House"
"Spartz Victoria","$4950","$0","$4950","Candidate (R-IN05)","Republican","Cand","House"
"Young Don","$4950","$0","$4950","Candidate (R-AK01)","Republican","Cand","House"
"Granger Kay","$4950","$0","$4950","Candidate (R-TX12)","Republican","Cand","House"
"Garcia Mike","$4950","$0","$4950","Candidate (R-CA25)","Republican","Cand","House"
"Zeldin Lee","$4950","$0","$4950","Candidate (R-NY01)","Republican","Cand","House"
"Tenney Claudia","$4950","$0","$4950","Candidate (R-NY22)","Republican","Cand","House"
"Hinson Ashley","$4950","$0","$4950","Candidate (R-IA01)","Republican","Cand","House"
"Owens Burgess","$4950","$0","$4950","Candidate (R-UT04)","Republican","Cand","House"
"Scalise Steve","$4950","$0","$4950","Candidate (R-LA01)","Republican","Cand","House"
