"Candidate","Total"
"Brian Fitzpatrick (R-Pa)","$10000"
"Steny H Hoyer (D-Md)","$5000"
"Carolyn Maloney (D-NY)","$5000"
"Lucy McBath (D-Ga)","$5000"
"Jerrold Nadler (D-NY)","$5000"
"Angie Craig (D-Minn)","$4000"
"Sharice Davids (D-Kan)","$4000"
"Susie Lee (D-Nev)","$4000"
"Joyce Beatty (D-Ohio)","$3500"
"Colin Allred (D-Texas)","$3000"
"Veronica Escobar (D-Texas)","$3000"
"Mike Levin (D-Calif)","$3000"
"Chris Pappas (D-NH)","$3000"
"Abigail Spanberger (D-Va)","$3000"
"Fred Upton (R-Mich)","$3000"
"Susan Wild (D-Pa)","$3000"
"Daniel Hernandez (D-Ariz)","$2500"
"Hank Johnson (D-Ga)","$2500"
"Grace Meng (D-NY)","$2500"
"Marc Veasey (D-Texas)","$2500"
"Steven Horsford (D-Nev)","$2250"
"Julia Brownley (D-Calif)","$2000"
"Nikki Budzinski (D-Ill)","$2000"
"Matt Cartwright (D-Pa)","$2000"
"Sean Casten (D-Ill)","$2000"
"Jay Chen (D-Calif)","$2000"
"Antonio Delgado (D-NY)","$2000"
"Lizzie Fletcher (D-Texas)","$2000"
"Josh Gottheimer (D-NJ)","$2000"
"Dan Kildee (D-Mich)","$2000"
"Andy Kim (D-NJ)","$2000"
"Tom Malinowski (D-NJ)","$2000"
"Jared Moskowitz (D-Fla)","$2000"
"Joseph Neguse (D-Colo)","$2000"
"Lisa Blunt Rochester (D-Del)","$2000"
"Mikie Sherrill (D-NJ)","$2000"
"Greg Stanton (D-Ariz)","$2000"
"Haley Stevens (D-Mich)","$2000"
"Melanie Stansbury (D-NM)","$1500"
"Eric Swalwell (D-Calif)","$1500"
"David Cicilline (D-RI)","$1250"
"Jake Auchincloss (D-Mass)","$1000"
"Suzanne Bonamici (D-Ore)","$1000"
"Brendan Boyle (D-Pa)","$1000"
"Greg Casar (D-Texas)","$1000"
"Joaquin Castro (D-Texas)","$1000"
"Jason Crow (D-Colo)","$1000"
"Teresa Leger Fernandez (D-NM)","$1000"
"Maxwell Frost (D-Fla)","$1000"
"Ruben Gallego (D-Ariz)","$1000"
"Robert Garcia (D-Calif)","$1000"
"Jimmy Gomez (D-Calif)","$1000"
"Val Hoyle (D-Ore)","$1000"
"Robin Kelly (D-Ill)","$1000"
"Sean Patrick Maloney (D-NY)","$1000"
"Donald McEachin (D-Va)","$1000"
"Katie Porter (D-Calif)","$1000"
"Jamie Raskin (D-Md)","$1000"
"Elissa Slotkin (D-Mich)","$1000"
"Norma Torres (D-Calif)","$1000"
"Jennifer Wexton (D-Va)","$1000"
