"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Andrews Annie","$3000","$2000","$1000","Candidate (D-SC01)","Democrat","Cand","House"
"McBath Lucy","$2538","$1455","$1083","Candidate (D-GA06)","Democrat","Cand","House"
"Pelosi Nancy","$2000","$0","$2000","Candidate (D-CA12)","Democrat","Cand","House"
"Jeffries Hakeem","$2000","$0","$2000","Candidate (D-NY08)","Democrat","Cand","House"
"Clyburn James E","$2000","$0","$2000","Candidate (D-SC06)","Democrat","Cand","House"
"Aguilar Pete","$2000","$0","$2000","Candidate (D-CA31)","Democrat","Cand","House"
"Clark Katherine","$2000","$0","$2000","Candidate (D-MA05)","Democrat","Cand","House"
"Hoyer Steny H","$2000","$0","$2000","Candidate (D-MD05)","Democrat","Cand","House"
"Levin Mike","$1750","$750","$1000","Candidate (D-CA49)","Democrat","Cand","House"
"Nadler Jerrold","$1500","$500","$1000","Candidate (D-NY10)","Democrat","Cand","House"
"Rose Max","$1300","$300","$1000","Candidate (D-NY11)","Democrat","Cand","House"
"Lee Susie","$1192","$0","$1192","Candidate (D-NV03)","Democrat","Cand","House"
"Underwood Lauren A","$1042","$0","$1042","Candidate (D-IL14)","Democrat","Cand","House"
"Maloney Sean Patrick","$1035","$0","$1035","Candidate (D-NY18)","Democrat","Cand","House"
"Davids Sharice","$1025","$0","$1025","Candidate (D-KS03)","Democrat","Cand","House"
"DeLauro Rosa","$1000","$0","$1000","Candidate (D-CT03)","Democrat","Cand","House"
"Peters Scott","$1000","$0","$1000","Candidate (D-CA52)","Democrat","Cand","House"
"O'Halleran Tom","$1000","$0","$1000","Candidate (D-AZ01)","Democrat","Cand","House"
"Evans Dwight","$1000","$0","$1000","Candidate (D-PA03)","Democrat","Cand","House"
"Newman Marie","$1000","$0","$1000","Candidate (D-IL03)","Democrat","Cand","House"
"Escobar Veronica","$1000","$0","$1000","Candidate (D-TX16)","Democrat","Cand","House"
"Stanton Greg","$1000","$0","$1000","Candidate (D-AZ09)","Democrat","Cand","House"
"Luria Elaine","$1000","$0","$1000","Candidate (D-VA02)","Democrat","Cand","House"
"Banyai Cindy","$1000","$0","$1000","Candidate (D-FL19)","Democrat","Cand","House"
"Casar Greg","$1000","$0","$1000","Candidate (D-TX35)","Democrat","Cand","House"
"Magaziner Seth","$1000","$0","$1000","Candidate (D-RI02)","Democrat","Cand","House"
"Upton Fred","$1000","$0","$1000","Candidate (R-MI06)","Republican","Cand","House"
"DeGette Diana","$1000","$0","$1000","Candidate (D-CO01)","Democrat","Cand","House"
"Himes Jim","$1000","$0","$1000","Candidate (D-CT04)","Democrat","Cand","House"
"Ruiz Raul","$1000","$0","$1000","Candidate (D-CA36)","Democrat","Cand","House"
"Horsford Steven","$1000","$0","$1000","Candidate (D-NV04)","Democrat","Cand","House"
"Beatty Joyce","$1000","$0","$1000","Candidate (D-OH03)","Democrat","Cand","House"
"Lieu Ted","$1000","$0","$1000","Candidate (D-CA33)","Democrat","Cand","House"
"Gallego Ruben","$1000","$0","$1000","Candidate (D-AZ07)","Democrat","Cand","House"
"McDowell Jan","$1000","$0","$1000","Candidate (D-TX24)","Democrat","Cand","House"
"Rochester Lisa Blunt","$1000","$0","$1000","Candidate (D-DE01)","Democrat","Cand","House"
"Jayapal Pramila","$1000","$0","$1000","Candidate (D-WA07)","Democrat","Cand","House"
"Gomez Jimmy","$1000","$0","$1000","Candidate (D-CA34)","Democrat","Cand","House"
"Houlahan Chrissy","$1000","$0","$1000","Candidate (D-PA06)","Democrat","Cand","House"
"Neguse Joseph","$1000","$0","$1000","Candidate (D-CO02)","Democrat","Cand","House"
"Spanberger Abigail","$1000","$0","$1000","Candidate (D-VA07)","Democrat","Cand","House"
"Hawk Danielle","$1000","$0","$1000","Candidate (D-FL03)","Democrat","Cand","House"
"Schiff Adam","$1000","$0","$1000","Candidate (D-CA28)","Democrat","Cand","House"
"Matsui Doris","$1000","$0","$1000","Candidate (D-CA06)","Democrat","Cand","House"
"Kelly Robin","$1000","$0","$1000","Candidate (D-IL02)","Democrat","Cand","House"
"Slotkin Elissa","$1000","$0","$1000","Candidate (D-MI08)","Democrat","Cand","House"
"Hayes Jahana","$1000","$0","$1000","Candidate (D-CT05)","Democrat","Cand","House"
"Frost Maxwell","$1000","$0","$1000","Candidate (D-FL10)","Democrat","Cand","House"
"Thanedar Shri","$1000","$0","$1000","Candidate (D-MI13)","Democrat","Cand","House"
"Foushee Valerie","$1000","$0","$1000","Candidate (D-NC04)","Democrat","Cand","House"
"Jackson Jeff","$1000","$0","$1000","Candidate (D-NC14)","Democrat","Cand","House"
"Goldman Dan","$1000","$0","$1000","Candidate (D-NY10)","Democrat","Cand","House"
"Welch Peter","$1000","$0","$1000","Candidate (D-VT01)","Democrat","Cand","House"
"Meeks Gregory","$1000","$0","$1000","Candidate (D-NY05)","Democrat","Cand","House"
"Chu Judy","$1000","$0","$1000","Candidate (D-CA27)","Democrat","Cand","House"
"Castro Joaquin","$1000","$0","$1000","Candidate (D-TX20)","Democrat","Cand","House"
"Demings Val","$1000","$0","$1000","Candidate (D-FL10)","Democrat","Cand","House"
"Veasey Marc","$1000","$0","$1000","Candidate (D-TX33)","Democrat","Cand","House"
"Carbajal Salud","$1000","$0","$1000","Candidate (D-CA24)","Democrat","Cand","House"
"Wexton Jennifer","$1000","$0","$1000","Candidate (D-VA10)","Democrat","Cand","House"
"Schrier Kim","$1000","$0","$1000","Candidate (D-WA08)","Democrat","Cand","House"
"Moskowitz Jared","$1000","$0","$1000","Candidate (D-FL23)","Democrat","Cand","House"
"Cohen Steve","$1000","$0","$1000","Candidate (D-TN09)","Democrat","Cand","House"
"Johnson Hank","$1000","$0","$1000","Candidate (D-GA04)","Democrat","Cand","House"
"Pocan Mark","$1000","$0","$1000","Candidate (D-WI02)","Democrat","Cand","House"
"Beyer Don","$1000","$0","$1000","Candidate (D-VA08)","Democrat","Cand","House"
"Ross Deborah","$1000","$0","$1000","Candidate (D-NC02)","Democrat","Cand","House"
"Allred Colin","$1000","$0","$1000","Candidate (D-TX32)","Democrat","Cand","House"
"Wild Susan","$1000","$0","$1000","Candidate (D-PA07)","Democrat","Cand","House"
"Pappas Chris","$1000","$0","$1000","Candidate (D-NH01)","Democrat","Cand","House"
"Ramirez Delia","$1000","$0","$1000","Candidate (D-IL03)","Democrat","Cand","House"
"Menendez Rob","$1000","$0","$1000","Candidate (D-NJ08)","Democrat","Cand","House"
"Crockett Jasmine","$1000","$0","$1000","Candidate (D-TX30)","Democrat","Cand","House"
"Harris-Till Joshua","$1000","$0","$1000","Candidate (D-OK05)","Democrat","Cand","House"
"Frankel Lois","$1000","$0","$1000","Candidate (D-FL21)","Democrat","Cand","House"
"Schneider Brad","$1000","$0","$1000","Candidate (D-IL10)","Democrat","Cand","House"
"Swalwell Eric","$1000","$0","$1000","Candidate (D-CA15)","Democrat","Cand","House"
"Dingell Debbie","$1000","$0","$1000","Candidate (D-MI12)","Democrat","Cand","House"
"Gottheimer Josh","$1000","$0","$1000","Candidate (D-NJ05)","Democrat","Cand","House"
"Raskin Jamie","$1000","$0","$1000","Candidate (D-MD08)","Democrat","Cand","House"
"Panetta Jimmy","$1000","$0","$1000","Candidate (D-CA20)","Democrat","Cand","House"
"Porter Katie","$1000","$0","$1000","Candidate (D-CA45)","Democrat","Cand","House"
"Crow Jason","$1000","$0","$1000","Candidate (D-CO06)","Democrat","Cand","House"
"Kim Andy","$1000","$0","$1000","Candidate (D-NJ03)","Democrat","Cand","House"
"Scanlon Mary Gay","$1000","$0","$1000","Candidate (D-PA05)","Democrat","Cand","House"
"Dean Madeleine","$1000","$0","$1000","Candidate (D-PA04)","Democrat","Cand","House"
"Gentle Adam","$1000","$1000","$0","Candidate (D-FL25)","Democrat","Cand","House"
"Bohannan Christina","$1000","$0","$1000","Candidate (D-IA01)","Democrat","Cand","House"
"Jackson Lee Sheila","$1000","$0","$1000","Candidate (D-TX18)","Democrat","Cand","House"
"Thompson Mike","$1000","$0","$1000","Candidate (D-CA05)","Democrat","Cand","House"
"Cicilline David","$1000","$0","$1000","Candidate (D-RI01)","Democrat","Cand","House"
"Ryan Pat","$1000","$0","$1000","Candidate (D-NY19)","Democrat","Cand","House"
"Lee Barbara","$1000","$0","$1000","Candidate (D-CA13)","Democrat","Cand","House"
"Ryan Tim","$1000","$0","$1000","Candidate (D-OH13)","Democrat","Cand","House"
"Titus Dina","$1000","$0","$1000","Candidate (D-NV01)","Democrat","Cand","House"
"Quigley Mike","$1000","$0","$1000","Candidate (D-IL05)","Democrat","Cand","House"
"Kuster Ann","$1000","$0","$1000","Candidate (D-NH02)","Democrat","Cand","House"
"Meng Grace","$1000","$0","$1000","Candidate (D-NY06)","Democrat","Cand","House"
"Craig Angie","$1000","$0","$1000","Candidate (D-MN02)","Democrat","Cand","House"
"Fitzpatrick Brian","$1000","$0","$1000","Candidate (R-PA01)","Republican","Cand","House"
"Bush Cori","$1000","$0","$1000","Candidate (D-MO01)","Democrat","Cand","House"
"Stevens Haley","$1000","$0","$1000","Candidate (D-MI11)","Democrat","Cand","House"
"Axne Cindy","$1000","$0","$1000","Candidate (D-IA03)","Democrat","Cand","House"
"Sherrill Mikie","$1000","$0","$1000","Candidate (D-NJ11)","Democrat","Cand","House"
"Fletcher Lizzie","$1000","$0","$1000","Candidate (D-TX07)","Democrat","Cand","House"
"Malinowski Tom","$1000","$0","$1000","Candidate (D-NJ07)","Democrat","Cand","House"
"McGarvey Morgan","$1000","$0","$1000","Candidate (D-KY03)","Democrat","Cand","House"
"Garcia Robert","$1000","$0","$1000","Candidate (D-CA42)","Democrat","Cand","House"
"Balint Becca","$1000","$0","$1000","Candidate (D-VT01)","Democrat","Cand","House"
"Jackson Jonathan","$1000","$0","$1000","Candidate (D-IL01)","Democrat","Cand","House"
"Tokuda Jill","$1000","$0","$1000","Candidate (D-HI02)","Democrat","Cand","House"
"Sykes Emilia","$700","$700","$0","Candidate (D-OH13)","Democrat","Cand","House"
"Hamilton Jane","$500","$500","$0","Candidate (D-TX30)","Democrat","Cand","House"
"Torres Ritchie","$250","$250","$0","Candidate (D-NY15)","Democrat","Cand","House"
"Oliver Brittany","$250","$250","$0","Candidate (D-MD02)","Democrat","Cand","House"
"Friese Randy","$250","$250","$0","Candidate (D-AZ02)","Democrat","Cand","House"
"Christian Bob","$247","$0","$247","Candidate (D-GA06)","Democrat","Cand","House"
"Smith Christy","$200","$200","$0","Candidate (D-CA27)","Democrat","Cand","House"
"Gray Molly","$150","$150","$0","Candidate (D-VT01)","Democrat","Cand","House"
