"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Gosar Paul","$10000","$0","$10000","Candidate (R-AZ04)","Republican","Cand","House"
"Budd Ted","$7500","$0","$7500","Candidate (R-NC13)","Republican","Cand","House"
"Good Bob","$7500","$0","$7500","Candidate (R-VA05)","Republican","Cand","House"
"Luna Anna Paulina","$5000","$0","$5000","Candidate (R-FL13)","Republican","Cand","House"
"Green Jennifer-Ruth","$5000","$0","$5000","Candidate (R-IN01)","Republican","Cand","House"
"Nunn Zach","$5000","$0","$5000","Candidate (R-IA03)","Republican","Cand","House"
"Kistner Tyler","$5000","$0","$5000","Candidate (R-MN02)","Republican","Cand","House"
"Barrett Tom","$5000","$0","$5000","Candidate (R-MI07)","Republican","Cand","House"
"Schweikert David","$5000","$0","$5000","Candidate (R-AZ06)","Republican","Cand","House"
"Jones Scott","$5000","$0","$5000","Candidate (R-CA03)","Republican","Cand","House"
"Cloud Michael","$5000","$0","$5000","Candidate (R-TX27)","Republican","Cand","House"
"Boebert Lauren","$5000","$0","$5000","Candidate (R-CO03)","Republican","Cand","House"
"Mills Cory","$5000","$0","$5000","Candidate (R-FL07)","Republican","Cand","House"
"Perry Scott","$5000","$0","$5000","Candidate (R-PA10)","Republican","Cand","House"
"Kent Joe","$5000","$0","$5000","Candidate (R-WA03)","Republican","Cand","House"
"Rosendale Matt","$5000","$0","$5000","Candidate (R-MT01)","Republican","Cand","House"
"Hines Bo","$5000","$0","$5000","Candidate (R-NC13)","Republican","Cand","House"
"Buck Ken","$5000","$0","$5000","Candidate (R-CO04)","Republican","Cand","House"
"Roy Chip","$5000","$0","$5000","Candidate (R-TX21)","Republican","Cand","House"
"Becker April","$5000","$0","$5000","Candidate (R-NV03)","Republican","Cand","House"
"Vega Yesli","$5000","$0","$5000","Candidate (R-VA07)","Republican","Cand","House"
"Hood Ron","$5000","$0","$5000","Candidate (R-OH15)","Republican","Cand","House"
"Mooney Alex","$5000","$0","$5000","Candidate (R-WV02)","Republican","Cand","House"
"Peters Sam","$5000","$0","$5000","Candidate (R-NV04)","Republican","Cand","House"
"Clyde Andrew","$2500","$0","$2500","Candidate (R-GA09)","Republican","Cand","House"
