"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Jordan Jim","$9950","$0","$9950","Candidate (R-OH04)","Republican","Cand","House"
"Scalise Steve","$9900","$0","$9900","Candidate (R-LA01)","Republican","Cand","House"
"Garcia Mike","$9900","$0","$9900","Candidate (R-CA25)","Republican","Cand","House"
"Hudson Richard","$9900","$0","$9900","Candidate (R-NC08)","Republican","Cand","House"
"Steel Michelle","$9900","$0","$9900","Candidate (R-CA48)","Republican","Cand","House"
"McCarthy Kevin","$9900","$0","$9900","Candidate (R-CA23)","Republican","Cand","House"
"Herrell Yvette","$9900","$0","$9900","Candidate (R-NM02)","Republican","Cand","House"
"Kiggans Jen","$5950","$0","$5950","Candidate (R-VA02)","Republican","Cand","House"
"Hines Bo","$4950","$0","$4950","Candidate (R-NC13)","Republican","Cand","House"
"Schmitt Colin","$4950","$0","$4950","Candidate (R-NY18)","Republican","Cand","House"
"Barrett Tom","$4950","$0","$4950","Candidate (R-MI07)","Republican","Cand","House"
"Mullin Markwayne","$4950","$0","$4950","Candidate (R-OK02)","Republican","Cand","House"
"Adkins Amanda","$4950","$0","$4950","Candidate (R-KS03)","Republican","Cand","House"
"Becker April","$4950","$0","$4950","Candidate (R-NV03)","Republican","Cand","House"
"Emmer Tom","$4950","$0","$4950","Candidate (R-MN06)","Republican","Cand","House"
"Budd Ted","$4950","$0","$4950","Candidate (R-NC13)","Republican","Cand","House"
"Valadao David","$4950","$0","$4950","Candidate (R-CA21)","Republican","Cand","House"
"Bacon Donald John","$4950","$0","$4950","Candidate (R-NE02)","Republican","Cand","House"
"Junge Paul","$4950","$0","$4950","Candidate (R-MI08)","Republican","Cand","House"
"Bognet Jim","$4950","$0","$4950","Candidate (R-PA08)","Republican","Cand","House"
"Nunn Zach","$4950","$0","$4950","Candidate (R-IA03)","Republican","Cand","House"
"Chavez-Deremer Lori","$4950","$0","$4950","Candidate (R-OR05)","Republican","Cand","House"
"Scheller Lisa","$4950","$0","$4950","Candidate (R-PA07)","Republican","Cand","House"
"Gilbert Madison Gesiotto","$4950","$0","$4950","Candidate (R-OH13)","Republican","Cand","House"
"Chabot Steve","$4950","$0","$4950","Candidate (R-OH01)","Republican","Cand","House"
"Kirkmeyer Barb","$4950","$0","$4950","Candidate (R-CO08)","Republican","Cand","House"
"James John","$4950","$0","$4950","Candidate (R-MI10)","Republican","Cand","House"
"Larkin Matt","$4950","$0","$4950","Candidate (R-WA08)","Republican","Cand","House"
"Williams Brandon","$4950","$0","$4950","Candidate (R-NY22)","Republican","Cand","House"
"De La Cruz Monica","$4950","$0","$4950","Candidate (R-TX15)","Republican","Cand","House"
"Van Orden Derrick","$4950","$0","$4950","Candidate (R-WI03)","Republican","Cand","House"
"Majewski J R","$4950","$0","$4950","Candidate (R-OH09)","Republican","Cand","House"
"King Esther Joy","$4950","$0","$4950","Candidate (R-IL17)","Republican","Cand","House"
"Molinaro Marc","$4950","$0","$4950","Candidate (R-NY19)","Republican","Cand","House"
"Hageman Harriet","$3900","$2900","$1000","Candidate (R-WY01)","Republican","Cand","House"
"Newhouse Dan","$3000","$0","$3000","Candidate (R-WA04)","Republican","Cand","House"
"Steube Greg","$3000","$0","$3000","Candidate (R-FL17)","Republican","Cand","House"
"Cammack Kat","$3000","$0","$3000","Candidate (R-FL03)","Republican","Cand","House"
"Aderholt Robert B","$3000","$0","$3000","Candidate (R-AL04)","Republican","Cand","House"
"Dunn Neal","$2500","$500","$2000","Candidate (R-FL02)","Republican","Cand","House"
"Granger Kay","$2500","$0","$2500","Candidate (R-TX12)","Republican","Cand","House"
"Rogers Mike D","$2500","$0","$2500","Candidate (R-AL03)","Republican","Cand","House"
"Robertson Mark","$2500","$0","$2500","Candidate (R-NV01)","Republican","Cand","House"
"Leavitt Karoline","$2500","$0","$2500","Candidate (R-NH01)","Republican","Cand","House"
"LaLota Nick","$2500","$0","$2500","Candidate (R-NY01)","Republican","Cand","House"
"Cole Tom","$2500","$0","$2500","Candidate (R-OK04)","Republican","Cand","House"
"Ciscomani Juan","$2500","$0","$2500","Candidate (R-AZ06)","Republican","Cand","House"
