District,Member,Party
Alabama 1,Jerry Carl,Republican
Alabama 2,Barry Moore,Republican
Alabama 3,Mike Rogers,Republican
Alabama 4,Robert Aderholt,Republican
Alabama 5,Dale Strong,Republican
Alabama 6,Gary Palmer,Republican
Alabama 7,Terri Sewell,Democratic
Alaska 1,Mary Peltola,Democratic
Arizona 1,David Schweikert,Republican
Arizona 2,Eli Crane,Republican
Arizona 3,Ruben Gallego,Democratic
Arizona 4,Greg Stanton,Democratic
Arizona 5,Andy Biggs,Republican
Arizona 6,Juan Ciscomani,Republican
Arizona 7,Raúl Grijalva,Democratic
Arizona 8,Debbie Lesko,Republican
Arizona 9,Paul Gosar,Republican
Arkansas 1,Rick Crawford,Republican
Arkansas 2,French Hill,Republican
Arkansas 3,Steve Womack,Republican
Arkansas 4,Bruce Westerman,Republican
California 1,Doug LaMalfa,Republican
California 2,Jared Huffman,Democratic
California 3,Kevin Kiley,Republican
California 4,Mike Thompson,Democratic
California 5,Tom McClintock,Republican
California 6,Ami Bera,Democratic
California 7,Doris Matsui,Democratic
California 8,John Garamendi,Democratic
California 9,Josh Harder,Democratic
California 10,Mark DeSaulnier,Democratic
California 11,Nancy Pelosi,Democratic
California 12,Barbara Lee,Democratic
California 13,John Duarte,Republican
California 14,Eric Swalwell,Democratic
California 15,Kevin Mullin,Democratic
California 16,Anna Eshoo,Democratic
California 17,Ro Khanna,Democratic
California 18,Zoe Lofgren,Democratic
California 19,Jimmy Panetta,Democratic
California 20,Kevin McCarthy,Republican
California 21,Jim Costa,Democratic
California 22,David Valadao,Republican
California 23,Jay Obernolte,Republican
California 24,Salud Carbajal,Democratic
California 25,Raul Ruiz,Democratic
California 26,Julia Brownley,Democratic
California 27,Mike Garcia,Republican
California 28,Judy Chu,Democratic
California 29,Tony Cárdenas,Democratic
California 30,Adam Schiff,Democratic
California 31,Grace Napolitano,Democratic
California 32,Brad Sherman,Democratic
California 33,Pete Aguilar,Democratic
California 34,Jimmy Gomez,Democratic
California 35,Norma Torres,Democratic
California 36,Ted Lieu,Democratic
California 37,Sydney Kamlager-Dove,Democratic
California 38,Linda Sánchez,Democratic
California 39,Mark Takano,Democratic
California 40,Young Kim,Republican
California 41,Ken Calvert,Republican
California 42,Robert Garcia,Democratic
California 43,Maxine Waters,Democratic
California 44,Nanette Barragán,Democratic
California 45,Michelle Steel,Republican
California 46,Lou Correa,Democratic
California 47,Katie Porter,Democratic
California 48,Darrell Issa,Republican
California 49,Mike Levin,Democratic
California 50,Scott Peters,Democratic
California 51,Sara Jacobs,Democratic
California 52,Juan Vargas,Democratic
Colorado 1,Diana DeGette,Democratic
Colorado 2,Joe Neguse,Democratic
Colorado 3,Lauren Boebert,Republican
Colorado 4,Ken Buck,Republican
Colorado 5,Doug Lamborn,Republican
Colorado 6,Jason Crow,Democratic
Colorado 7,Brittany Pettersen,Democratic
Colorado 8,Yadira Caraveo,Democratic
Connecticut 1,John B. Larson,Democratic
Connecticut 2,Joe Courtney,Democratic
Connecticut 3,Rosa DeLauro,Democratic
Connecticut 4,Jim Himes,Democratic
Connecticut 5,Jahana Hayes,Democratic
Delaware 1,Lisa Blunt Rochester,Democratic
Florida 1,Matt Gaetz,Republican
Florida 2,Neal Dunn,Republican
Florida 3,Kat Cammack,Republican
Florida 4,Aaron Bean,Republican
Florida 5,John Rutherford,Republican
Florida 6,Michael Waltz,Republican
Florida 7,Cory Mills,Republican
Florida 8,Bill Posey,Republican
Florida 9,Darren Soto,Democratic
Florida 10,Maxwell Frost,Democratic
Florida 11,Daniel Webster,Republican
Florida 12,Gus Bilirakis,Republican
Florida 13,Anna Paulina Luna,Republican
Florida 14,Kathy Castor,Democratic
Florida 15,Laurel Lee,Republican
Florida 16,Vern Buchanan,Republican
Florida 17,Greg Steube,Republican
Florida 18,Scott Franklin,Republican
Florida 19,Byron Donalds,Republican
Florida 20,Sheila Cherfilus-McCormick,Democratic
Florida 21,Brian Mast,Republican
Florida 22,Lois Frankel,Democratic
Florida 23,Jared Moskowitz,Democratic
Florida 24,Frederica Wilson,Democratic
Florida 25,Debbie Wasserman Schultz,Democratic
Florida 26,Mario Díaz-Balart,Republican
Florida 27,María Elvira Salazar,Republican
Florida 28,Carlos Giménez,Republican
Georgia 1,Buddy Carter,Republican
Georgia 2,Sanford Bishop,Democratic
Georgia 3,Drew Ferguson,Republican
Georgia 4,Hank Johnson,Democratic
Georgia 5,Nikema Williams,Democratic
Georgia 6,Rich McCormick,Republican
Georgia 7,Lucy McBath,Democratic
Georgia 8,Austin Scott,Republican
Georgia 9,Andrew Clyde,Republican
Georgia 10,Mike Collins,Republican
