branch,district,forecastdate,name_D1,name_R1,winner_D1,winner_R1,tipping,timestamp
House,WY-1,2022-11-08,Lynnette GreyBull,Harriet Hageman,0.000825,0.999175,2.5e-05,00:12:39  8 Nov 2022
House,WV-2,2022-11-08,Barry Lee Wendell,Alexander X. Mooney,0.0005,0.9995,2.5e-05,00:12:39  8 Nov 2022
House,WV-1,2022-11-08,Lacy Watson,Carol Miller,0.000725,0.999275,3.75e-05,00:12:39  8 Nov 2022
House,WI-7,2022-11-08,Richard Dick Ausman,Tom Tiffany,0.006075,0.993925,0.000375,00:12:39  8 Nov 2022
House,WI-5,2022-11-08,Mike Van Someren,Scott Fitzgerald,0.0016,0.9984,7.5e-05,00:12:39  8 Nov 2022
House,WI-4,2022-11-08,Gwen Moore,Tim Rogers,0.999875,0.000125,0.0,00:12:39  8 Nov 2022
House,WI-3,2022-11-08,Brad Pfaff,Derrick Van Orden,0.1191,0.8809,0.008125,00:12:39  8 Nov 2022
House,WI-2,2022-11-08,Mark Pocan,Erik Olsen,0.99985,0.00015,1.25e-05,00:12:39  8 Nov 2022
House,WI-1,2022-11-08,Ann Roe,Bryan Steil,0.055925,0.944075,0.00345,00:12:39  8 Nov 2022
House,WA-9,2022-11-08,Adam Smith,Doug Basler,0.99965,0.00035,0.0,00:12:39  8 Nov 2022
House,WA-8,2022-11-08,Kim Schrier,Matt Larkin,0.695575,0.304425,0.0083875,00:12:39  8 Nov 2022
House,WA-7,2022-11-08,Pramila Jayapal,Cliff Moon,1.0,0.0,0.0,00:12:39  8 Nov 2022
House,WA-6,2022-11-08,Derek Kilmer,Elizabeth Kreiselmaier,0.961125,0.038875,0.00095,00:12:39  8 Nov 2022
House,WA-5,2022-11-08,Natasha Hill,Cathy McMorris Rodgers,0.016975,0.983025,0.000975,00:12:39  8 Nov 2022
House,WA-4,2022-11-08,Doug White,Dan Newhouse,0.004025,0.995975,0.0001875,00:12:39  8 Nov 2022
House,WA-3,2022-11-08,Marie Gluesenkamp Perez,Joe Kent,0.1529,0.8471,0.012775,00:12:39  8 Nov 2022
House,WA-2,2022-11-08,Rick Larsen,Dan Matthews,0.983325,0.016675,0.0002625,00:12:39  8 Nov 2022
House,WA-1,2022-11-08,Suzan DelBene,Vincent J. Cavaleri,0.9935,0.0065,0.0001375,00:12:39  8 Nov 2022
House,WA-10,2022-11-08,Marilyn Strickland,Keith R. Swank,0.9467,0.0533,0.00105,00:12:39  8 Nov 2022
House,VT-1,2022-11-08,Becca Balint,Liam Madden,0.99945,0.00055,0.0,00:12:39  8 Nov 2022
House,VA-9,2022-11-08,Taysha Lee DeVaughan,H. Morgan Griffith,0.000125,0.999875,0.0,00:12:39  8 Nov 2022
House,VA-8,2022-11-08,Donald S. Beyer Jr.,Karina A. Lipsman,0.99995,5e-05,1.25e-05,00:12:39  8 Nov 2022
House,VA-7,2022-11-08,Abigail A. Spanberger,Yesli I. Vega,0.651725,0.348275,0.0105875,00:12:39  8 Nov 2022
House,VA-6,2022-11-08,Jennifer Lynn Lewis,Ben L. Cline,0.0012,0.9988,8.75e-05,00:12:39  8 Nov 2022
House,VA-5,2022-11-08,Joshua M. Throneburg,Robert G. “Bob” Good,0.0188,0.9812,0.00125,00:12:39  8 Nov 2022
House,VA-4,2022-11-08,A. Donald McEachin,Leon Benjamin Sr.,0.9994,0.0006,0.0,00:12:39  8 Nov 2022
House,VA-3,2022-11-08,Robert C. “Bobby” Scott,Terry T. Namkung,0.999125,0.000875,2.5e-05,00:12:39  8 Nov 2022
House,VA-2,2022-11-08,Elaine G. Luria,Jen A. Kiggans,0.56575,0.43425,0.0130375,00:12:39  8 Nov 2022
House,VA-1,2022-11-08,Herbert C. “Herb” Jones Jr.,Rob J. Wittman,0.015925,0.984075,0.0009,00:12:39  8 Nov 2022
House,VA-11,2022-11-08,Gerald E. “Gerry” Connolly,James G. “Jim” Myles,0.9985,0.0015,3.75e-05,00:12:39  8 Nov 2022
House,VA-10,2022-11-08,Jennifer T. Wexton,Hung Cao,0.79255,0.20745,0.0050625,00:12:39  8 Nov 2022
