,CAND_NAME,CAND_OFFICE_ST,TTL_DISB
0,"CONSTANT, CHRISTOPHER",AK,164037.51
1,"PELTOLA, MARY",AK,6506330.37
2,"WOOL, ADAM L",AK,16217.07
3,"REVAK, JOSHUA CARL",AK,121841.0
4,"PALIN, SARAH",AK,1908104.64
5,"PURHAM, RANDY",AK,5621.6
6,"BEGICH, NICHOLAS III",AK,1552558.33
7,"COGHILL, JOHN B JR.",AK,26425.0
8,"SWEENEY, TARA M",AK,332195.05
9,"YOUNG, DONALD E",AK,916475.36
10,"BRELSFORD, GREGG BOWYER MR.",AK,43376.41
11,"GROSS, ALAN",AK,888083.17
12,"GALVIN, ALYSE",AK,124897.32
13,"BYE, CHRIS",AK,3940.25
14,"METTLER, SHERRY",AK,8350.0
15,"LOWENFELS, JEFF",AK,153418.08
16,"AVERHART, JAMES",AL,1000.0
17,"CARL, JERRY LEE, JR",AL,931386.18
18,"LAMBERT, DOUGLAS WESTLEY III",AL,0.0
19,"HARVEY-HALL, PHYLLIS",AL,60204.67
20,"PATEL, VIMAL",AL,59812.13
21,"ROBY, MARTHA",AL,47712.24
22,"COLEMAN, JEFF",AL,0.0
23,"KING, TROY",AL,3028.21
24,"COLEMAN, JEFF",AL,362073.05
25,"MOORE, FELIX BARRY",AL,430418.03
26,"SMITH, JONATHAN",AL,11139.71
27,"VEASEY, KAREN LIN MRS",AL,13237.7
28,"WINFREY, ADIA",AL,23.0
29,"ROGERS, MICHAEL",AL,1675693.91
30,"JOINER, MICHAEL T",AL,538.99
31,"BELL, DOUGLAS A.",AL,6966.11
32,"NEIGHBORS, RICKY",AL,23619.51
33,"ADERHOLT, ROBERT B. REP.",AL,973923.28
34,"COCHRAN, JOHN",AL,6298.7
35,"WARNER-STANTON, KATHY L",AL,84706.25
36,"BROOKS, MO",AL,4750635.47
37,"LEWIS, CHRIS",AL,373.3
38,"STRONG, DALE WHITNEY",AL,1913691.45
39,"BLALOCK, KEVIN ANDREW",AL,49212.24
40,"WARDYNSKI, CASEY",AL,777338.34
41,"WRIGHT, HARRISON GAGE WOODARD",AL,0.0
42,"ROBERTS, JOHN",AL,167173.32
43,"SANFORD, PAUL",AL,70417.97
44,"THOMPSON, CHARLES",AL,34895.13
45,"PALMER, GARY",AL,1166573.39
46,"SEWELL, TERRI A.",AL,1606404.5
47,"WALTERS, EDDISON T",AL,0.0
48,"NICHOLS, BEATRICE JACKSON",AL,47695.24
49,"CAUSEY, CHAD",AR,15181.59
50,"HODGES, MONTE",AR,60079.23
51,"CRAWFORD, ERIC ALAN RICK",AR,637982.03
52,"SMITH, PRINCELLA D",AR,0.0
53,"SMITH, BRANDT",AR,30450.0
54,"SHACKELFORD, JODY",AR,21377.52
55,"ELLIOTT, JOYCE ANN SENATOR",AR,129574.4
56,"CARTWRIGHT, NICHOLAS",AR,19989.0
57,"COMBS, GWENDOLYNN MILLEN MRS.",AR,0.0
58,"REYNOLDS, CONRAD E",AR,150194.2
59,"POSTON, DAVID P",AR,1309.86
60,"HILL, JAMES FRENCH",AR,2659110.5
61,"WHITAKER, DAVID JEFFREY",AR,0.0
62,"HAYS, LAUREN",AR,44418.3
63,"WOMACK, STEVE",AR,1083110.59
64,"HENDREN, JAMES PAUL",AR,19.96
65,"KUMAR, NEIL",AR,110333.24
66,"HANSON, WILLIAM MR.",AR,929.98
67,"SHAMEL, HAYDEN CATHERINE",AR,21.0
68,"COTTON, THOMAS",AR,3069187.01
69,"WESTERMAN, BRUCE",AR,1328211.26
70,"AMATA, AUMUA",AS,57524.13
71,"PUTZOVA, EVA",AZ,21118.24
72,"TORRES, GINGER SYKES",AZ,129544.06
73,"HODGE, JEVIN D",AZ,2501175.74
74,"WILLIAMSON, W (WALTER) JOHN",AZ,289.73
75,"METZENDORF, ADAM",AZ,308020.36
76,"BARNETT, JOSH",AZ,62912.51
77,"RENZI, RICHARD G.",AZ,1244.79
78,"MOORE FOR AZ, JOHN W",AZ,181611.56
79,"YATES, ANDY",AZ,114706.0
80,"NORTON, ELIJAH",AZ,5398455.02
81,"KIEHNE, GARY",AZ,0.0
82,"SHEDD, TIFFANY",AZ,76584.62
83,"QUILTER, PETER",AZ,1816.0
84,"FRIESE, RANDALL S.",AZ,705957.71
85,"O'HALLERAN, TOM",AZ,4248739.08
86,"HEINZ, MATTHEW GERALD",AZ,0.0
87,"MORGAN, JOSEPH DAVID",AZ,321.0
88,"MARTIN, BRANDON RAY",AZ,606.19
89,"STAUTZ, SHAY",AZ,6589.23
90,"BLACKMAN, WALTER JACK",AZ,1151626.08
91,"CRANE, ELI",AZ,3556205.29
92,"WATKINS, RONALD",AZ,262318.38
93,"LOWELL, DOUGLAS",AZ,278696.15
94,"MARTIN, BRANDON MR.",AZ,155633.21
95,"FREE, LUCRETIA",AZ,16697.49
96,"DELUZIO, MARK",AZ,1331382.96
97,"KRYSTOFIAK, STEVEN",AZ,510811.16
98,"LIZER, MYRON",AZ,735.52
99,"MCSALLY, MARTHA",AZ,0.0
100,"MARTIN, BRANDON RAY",AZ,606.19
101,"GALLEGO, RUBEN",AZ,1945968.33
102,"POZZOLO, LUIS B",AZ,268102.04
103,"ZINK, JEFFREY NELSON MR",AZ,54677.95
104,"SAN MIGUEL, EDNA",AZ,0.0
105,"STAHL, JUDITH",AZ,261679.59
106,"STANTON, GREG",AZ,5324884.85
107,"GOULD, RON",AZ,0.0
108,"WHEELESS, TANYA CONTRERAS",AZ,1285879.4
109,"DAVISON, JERONE",AZ,146399.07
110,"COOPER, KELLY",AZ,2122236.02
111,"RAMOS, JAVIER GARCIA MR.",AZ,15626.17
112,"GREENE, JOAN",AZ,25005.84
113,"BIGGS, ANDY MR.",AZ,2437427.13
114,"OLSON, JUSTIN",AZ,0.0
115,"SMITH, CLINT",AZ,197482.53
116,"GENTLES, KARL E",AZ,0.0
117,"ENGEL, KIRSTEN",AZ,2463661.76
118,"URREA, MARCOS J",AZ,9603.59
119,"HERNANDEZ, DANIEL",AZ,1193639.86
120,"ULIS, ERIC",AZ,6336.85
121,"DISANTO, DELINA",AZ,183046.71
122,"TIPIRNENI, HIRAL VYAS",AZ,58763.17
123,"FLAKE, JEFF MR.",AZ,252716.17
124,"CISCOMANI, JUAN",AZ,3323773.63
125,"WINN, KATHLEEN",AZ,346101.4
126,"KONCZAL, KEVIN",AZ,12179.69
127,"TOWNSEND, KELLY",AZ,21097.95
128,"MAYBERRY, YOUNG",AZ,25323.57
129,"SCHWEIKERT, DAVID S.",AZ,1926242.8
130,"PASTOR, ED L",AZ,94444.3
131,"GRIJALVA, RAUL M",AZ,642634.53
132,"BECKER, NINA",AZ,900.19
133,"MUSCATO, MICHAEL ARCHANGEL",AZ,35945.64
134,"OLSEN, ROBERT",AZ,33578.2
135,"LESKO, DEBBIE",AZ,842771.16
136,"SINEMA, KYRSTEN",AZ,1888765.82
137,"SCHAPIRA, DAVID",AZ,0.0
138,"GOSAR, PAUL DR.",AZ,836153.75
139,"PARKER, VERNON",AZ,0.0
140,"TUTORA, NICHOLAS",AZ,171.26
141,"MORGAN, ADAM",AZ,84349.52
142,"GRANTHAM, TRAVIS W.",AZ,360.0
143,"STOVALL, ALEX",AZ,149501.96
144,"LOPEZ, JESUS RENE JR.",AZ,172698.5
145,"KUTZ, RANDY",AZ,78885.21
146,"DOWLING, SANDRA E DR",AZ,71959.16
147,"GILES, DAVID VICTOR",AZ,84345.92
148,"BISH, CHRISTINE",CA,84632.17
149,"LYDON, ROBERT K",CA,4129.88
150,"STEINER, MAX",CA,590546.44
151,"ZINK, DAVID LEON MR.",CA,16454.0
152,"DENNEY, AUDREY L",CA,4628.82
153,"LAMALFA, DOUG",CA,685660.72
154,"YEE, ROSE PENELOPE LAGOC",CA,16041.46
155,"HAMPSON, BETH",CA,13320.68
156,"HUFFMAN, JARED",CA,746741.79
157,"BROWER, DOUGLAS REV",CA,15677.0
158,"COULOMBE, CHRIS MR",CA,44858.93
159,"RAMIREZ, ARCHIMEDES M.D.",CA,23635.0
160,"MENSING, DALE KENNETH",CA,5084.77
161,"JONES, KERMIT",CA,3223404.96
162,"FEUCHT, J.C. SEAN",CA,10844.69
163,"PALETTA, JASON",CA,26405.45
164,"JONES, SCOTT R",CA,567898.41
165,"KILEY, KEVIN",CA,3173870.51
166,"LOGUE, DANIEL",CA,0.0
167,"ENGDAHL, ANDREW DAVID",CA,10264.97
168,"THOMPSON, MIKE MR.",CA,2268638.32
169,"MORSE, JESSICA",CA,31055.55
170,"NEWMAN, SETH",CA,303.0
171,"BROCK, MATTHEW",CA,11242.15
172,"SHELDON-LONDON, MONIKA LOUISE MS.",CA,5658.3
173,"BARKLEY, MICHAEL JAMES MR.",CA,457921.0
174,"MAIN, DAVID NATHAN",CA,8442.0
175,"DALY, JOLENE",CA,4840.31
176,"MAGSIG, NATHAN",CA,428764.28
177,"MCCLINTOCK, THOMAS",CA,1649175.16
178,"BERA, AMERISH",CA,1809478.16
179,"JEFFERSON, DELMA",CA,82073.35
180,"HAMILTON, TAMIKA",CA,1157631.44
181,"MCQUAID, JOHN DENNIS",CA,935475.09
182,"LANGFORD, DAVID KEITH MR. JR.",CA,427.37
183,"DANIELS, BRET",CA,15187.0
184,"BLACK, KARLA",CA,2935.58
185,"FREMGEN, JAMES LUCAS",CA,42377.71
186,"MATSUI, DORIS",CA,1404041.35
187,"PATTERSON, ROBERT BUZZ",CA,19304.83
188,"IVY, JON",CA,19.5
189,"EMKEN, ELIZABETH",CA,0.0
190,"SEMENENKO, MAX",CA,48486.15
191,"BIRMAN, IGOR A",CA,0.0
