district,name,percent,party,gun_control,healthcare,abortion,climate_change,immigration_daca
NH-1,Leavitt,51.0,R,1,0,0,-1,-1
NH-1,Pappas,49.0,D,0,1,1,1,1
PA-17,Shaffer,51.0,R,1,0,0,-1,-1
PA-17,Deluzio,49.0,D,0,1,1,1,-1
CA-27,Garcia,53.0,R,0,0,0,0,0
CA-27,Smith,47.0,D,0,1,1,1,1
NY-4,D'Esposito,48.0,R,1,0,0,0,-1
NY-4,Gillen,52.0,D,0,1,1,1,-1
PA-7,Scheller,54.0,R,1,0,0,0,0
PA-7,Wild,46.0,D,0,1,1,1,1
NY-22,Williams,46.0,R,1,0,0,-1,-1
NY-22,Conole,54.0,D,0,1,1,1,-1
NY-3,Devolder-Santos,47.0,R,1,0,0,0,0
NY-3,Zimmerman,53.0,D,0,1,1,1,-1
AZ-2,Crane,53.0,R,1,0,0,-1,-1
AZ-2,O'Halleran,47.0,D,0,1,1,1,1
NC-13,Hines,45.0,R,1,0,0,-1,0
NC-13,Nickel,55.0,D,0,1,1,1,1
IA-3,Nunn,55.0,R,1,0,0,-1,-1
IA-3,Axne,45.0,D,0,1,1,1,1
VA-2,Kiggans,43.0,R,1,0,0,-1,0
VA-2,Luria,57.0,D,0,1,1,1,1
OH-13,Gilbert,58.0,R,1,0,0,-1,0
OH-13,Sykes,42.0,D,0,1,1,1,-1
CT-5,Logan,42.0,R,1,0,0,-1,-1
CT-5,Hayes,58.0,D,0,1,1,1,1
AK-1,Palin,35.0,R,1,0,0,-1,-1
NV-3,Becker,61.0,R,1,0,-1,-1,-1
NV-3,Lee,39.0,D,0,1,1,1,1
MN-2,Kistner,37.0,R,1,0,0,-1,-1
MN-2,Craig,63.0,D,0,1,1,1,1
MI-3,Gibbs,38.0,R,1,0,0,-1,0
MI-3,Scholten,62.0,D,0,1,1,1,-1
CA-22,Valadao,39.0,R,1,0,0,0,1
CA-22,Salas,61.0,D,0,1,1,-1,1
VA-7,Vega,35.0,R,1,0,0,-1,-1
VA-7,Spanberger,65.0,D,0,1,1,1,1
NV-4,Peters,36.0,R,0,0,0,-1,0
NV-4,Horsford,64.0,D,0,1,1,1,1
OH-1,Chabot,64.0,R,1,0,0,0,0
OH-1,Landsman,36.0,D,0,1,1,1,-1
NY-17,Lawler,36.0,R,1,0,0,1,-1
NY-17,Maloney,64.0,D,0,1,1,1,1
IL-17,King,34.0,R,1,0,0,0,-1
IL-17,Sorensen,66.0,D,0,1,1,1,-1
OR-4,Skarlatos,33.0,R,1,0,-1,-1,-1
OR-4,Hoyle,67.0,D,0,1,1,1,-1
FL-13,Paulina Luna,67.0,R,1,0,0,-1,1
FL-13,Lynn,33.0,D,0,1,1,1,1
ME-2,Poliquin,33.0,R,1,0,0,0,0
ME-2,Golden,67.0,D,0,1,1,1,1
PA-8,Bognet,68.0,R,1,0,0,-1,-1
PA-8,Cartwright,32.0,D,0,1,1,1,1
OR-5,Chavez-DeRemer,66.0,R,1,0,0,1,0
OR-5,McLeod-Skinner,34.0,D,0,1,1,1,1
TX-15,De La Cruz-Hernandez,64.0,R,1,0,0,-1,0
TX-15,Vallejo,36.0,D,0,1,1,1,1
CA-13,Duarte,35.0,R,1,0,-1,-1,-1
CA-13,Gray,65.0,D,0,1,1,-1,-1
NM-2,Herrell,69.0,R,1,0,0,0,0
NM-2,Vasquez,31.0,D,0,1,1,1,1
OR-6,Erickson,68.0,R,1,0,1,1,-1
OR-6,Salinas,32.0,D,0,1,1,1,-1
MI-8,Junge,33.0,R,1,0,0,0,0
MI-8,Kildee,67.0,D,0,1,1,1,1
NJ-7,Kean,65.0,R,1,0,1,0,0
NJ-7,Malinowski,55.0,D,0,1,1,1,1
CO-7,Aadland,32.0,R,1,0,0,1,0
CO-7,Pettersen,68.0,D,0,1,1,1,-1
IL-13,Deering,37.0,R,1,0,0,-1,0
IL-13,Budzinski,67.0,D,0,1,1,1,1
NY-19,Molinaro,30.0,R,1,0,-1,-1,-1
NY-19,Riley,70.0,D,0,1,1,1,-1
MI-7,Barrett,28.0,R,1,0,0,-1,0
MI-7,Slotkin,72.0,D,0,1,1,1,1
MD-6,Parrott,30.0,R,1,0,0,1,0
MD-6,Trone,70.0,D,0,1,1,1,1
AZ-6,Ciscomani,71.0,R,1,0,0,-1,0
AZ-6,Engel,29.0,D,0,1,1,1,1
CA-9,Patti,32.0,R,1,0,0,-1,-1
CA-9,Harder,68.0,D,0,1,1,1,1
WA-8,Larkin,30.0,R,1,0,0,-1,-1
WA-8,Schrier,70.0,D,0,1,1,1,1
FL-27,Salazar,71.0,R,1,0,0,-1,1
FL-27,Taddeo,29.0,D,0,1,1,1,1
OH-9,Majewski,28.0,R,1,0,-1,-1,-1
OH-9,Kaptur,72.0,D,0,1,1,1,1
AZ-4,Cooper,26.0,R,1,0,0,-1,-1
AZ-4,Stanton,74.0,D,0,1,1,1,1
CO-8,Kirkmeyer,75.0,R,1,0,0,-1,0
CO-8,Caraveo,25.0,D,0,1,1,1,1
TN-5,Ogles,76.0,R,1,0,0,-1,-1
TN-5,Campbell,24.0,D,0,1,1,1,1
GA-2,West,19.0,R,1,0,-1,-1,0
GA-2,Bishop,81.0,D,0,1,1,1,1
CA-49,Maryott,19.0,R,1,0,1,-1,0
CA-49,Levin,81.0,D,0,1,1,1,1
PA-10,Perry,77.0,R,1,0,0,0,0
PA-10,Daniels,23.0,D,0,1,1,1,-1
