cid,firstlast,lastname,office,gender,first_elected,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00048145,Dale Strong,Strong,AL05,M,2022,,,,,,,,,,,,
N00048812,Katie Britt,Britt,ALS2,F,2022,,,,,,,,,,,,
N00050780,Mary Peltola,Peltola,AK01,F,2022,,,,,,,,,,,,
N00048953,Eli Crane,Crane,AZ02,M,2022,,,,,,,,,,,,
N00049039,Juan Ciscomani,Ciscomani,AZ06,M,2022,,,,,,,,,,,,
N00050259,Kevin Kiley,Kiley,CA03,M,2022,,,,,,,,,,,,
N00050562,John Duarte,Duarte,CA13,M,2022,,,,,,,,,,,,
N00049438,Kevin Mullin,Mullin,CA15,M,2022,,,,,,,,,,,,
N00044298,Mike Garcia,Garcia,CA27,M,2020,,,,,,,,,,,,
N00049460,Sydney Kamlager,Kamlager,CA37,F,2022,,,,,,,,,,,,
N00049470,Robert Garcia,Garcia,CA42,M,2022,,,,,,,,,,,,
N00040878,Brittany Pettersen,Pettersen,CO07,F,2022,,,,,,,,,,,,
N00049068,Yadira Caraveo,Caraveo,CO08,F,2022,,,,,,,,,,,,
N00051369,Aaron Bean,Bean,FL04,M,2022,,,,,,,,,,,,
N00048179,Cory Mills,Mills,FL07,M,2022,,,,,,,,,,,,
N00049075,Maxwell Frost,Frost,FL10,M,2022,,,,,,,,,,,,
N00045228,Anna Paulina Luna,Luna,FL13,F,2022,,,,,,,,,,,,
N00051178,Laurel Lee,Lee,FL15,F,2022,,,,,,,,,,,,
N00043504,Sheila Cherfilus-McCormick,Cherfilus-McCormick,FL20,F,2022,,,,,,,,,,,,
N00050596,Jared Moskowitz,Moskowitz,FL23,M,2022,,,,,,,,,,,,
N00044520,Richard McCormick,Mccormick,GA06,M,2022,,,,,,,,,,,,
N00035370,Mike Collins,Collins,GA10,M,2022,,,,,,,,,,,,
N00051049,Jill Tokuda,Tokuda,HI02,F,2022,,,,,,,,,,,,
N00050105,Jonathan Jackson,Jackson,IL01,M,2022,,,,,,,,,,,,
N00049548,Delia Ramirez,Ramirez,IL03,F,2022,,,,,,,,,,,,
N00049102,Nikki Budzinski,Budzinski,IL13,F,2022,,,,,,,,,,,,
N00049558,Eric Sorensen,Sorensen,IL17,M,2022,,,,,,,,,,,,
N00051733,Rudy Yakym,Yakym,IN02,M,2022,,,,,,,,,,,,
N00037427,Erin Houchin,Houchin,IN09,F,2022,,,,,,,,,,,,
N00048870,Zach Nunn,Nunn,IA03,M,2022,,,,,,,,,,,,
N00049295,Morgan McGarvey,McGarvey,KY03,M,2022,,,,,,,,,,,,
N00025766,Troy Carter,Carter,LA02,M,2021,,,,,,,,,,,,
