Name,Amount,District
"Schiff, Adam","$76,937",D-CA
"Takano, Mark","$70,601",D-CA
"Maloney, Sean Patrick","$66,000",D-NY
"Pappas, Chris","$58,250",D-NH
"Rollins, Will","$57,909",D-CA
"Magaziner, Seth","$57,150",D-RI
"Mizeur, Heather","$56,300",D-MD
"Craig, Angie","$43,863",D-MN
"Cicilline, David","$39,700",D-RI
"Pelosi, Nancy","$39,370",D-CA
"Davids, Sharice","$32,800",D-KS
"Lofgren, Zoe","$32,230",D-CA
"Balint, Becca","$31,987",D-VT
"Slotkin, Elissa","$31,520",D-MI
"Torres, Ritchie","$30,200",D-NY
"Zimmerman, Robert","$27,841",D-NY
"Sorensen, Eric","$27,478",D-IL
"Jeffries, Hakeem","$26,550",D-NY
"Khanna, Ro","$25,812",D-CA
"Garcia, Robert","$25,619",D-CA
"Raskin, Jamie","$23,422",D-MD
"McLeod-Skinner, Jamie","$22,024",D-OR
"Chen, Jay","$21,918",D-CA
"Gottheimer, Josh","$21,912",D-NJ
"Beach-Ferrara, Jasmine","$21,350",D-NC
"Reyes, Victor","$17,450",D-NM
"Smith, Christy","$15,724",D-CA
"Hoyer, Steny H","$13,900",D-MD
"Kim, Andy","$13,770",D-NJ
"Schakowsky, Jan","$13,612",D-IL
"Kildee, Dan","$13,512",D-MI
"Axne, Cindy","$11,861",D-IA
"Fernandez, Teresa Leger","$11,574",D-NM
"Hernandez, Daniel","$11,562",D-AZ
"Branco, Patrick","$11,250",D-HI
"Levin, Mike","$10,281",D-CA
"Taddeo, Annette","$9,683",D-FL
"Peltola, Mary","$9,650",D-AK
"Harder, Josh","$9,161",D-CA
"Schrier, Kim","$8,987",D-WA
"Wild, Susan","$8,963",D-PA
"Ryan, Pat","$8,900",D-NY
"Golden, Jared","$8,894",D-ME
"Cartwright, Matt","$8,662",D-PA
"Meloy, Sean","$8,650",D-PA
"Pocan, Mark","$8,425",D-WI
"Calvert, Ken","$8,400",R-CA
"Strickland, Marilyn","$8,394",D-WA
"Aguilar, Pete","$8,362",D-CA
"Underwood, Lauren A","$8,344",D-IL
"Aiken, Clay","$8,181",D-NC
"Porter, Katie","$8,043",D-CA
"Houlahan, Chrissy","$8,012",D-PA
"Lee, Susie","$8,012",D-NV
"Hoyle, Val","$8,007",D-OR
"Rocha, Joseph C.","$7,900",D-CA
"Hayes, Jahana","$7,645",D-CT
"Kaptur, Marcy","$7,512",D-OH
"Stanton, Greg","$7,512",D-AZ
"Scholten, Hillary","$7,203",D-MI
"Budzinski, Nikki","$7,002",D-IL
"Conole, Francis","$7,000",D-NY
"Vargas, Tony","$7,000",D-NE
"Salinas, Andrea","$6,970",D-OR
"DelBene, Suzan","$6,812",D-WA
"Horsford, Steven","$6,596",D-NV
"Landsman, Greg","$6,554",D-OH
"Luria, Elaine","$6,512",D-VA
"Rochester, Lisa Blunt","$6,512",D-DE
"Vasquez, Gabe","$6,262",D-NM
"Sykes, Emilia","$6,258",D-OH
"Pfaff, Brad","$6,202",D-WI
