Name,Amount,District
"Flowers, Marcus","$57,290",D-GA
"Golden, Jared","$47,478",D-ME
"Kim, Andy","$41,002",D-NJ
"Rose, Max","$38,459",D-NY
"Slotkin, Elissa","$36,571",D-MI
"Salazar, Maria","$33,600",R-FL
"Malinowski, Tom","$28,592",D-NJ
"Chen, Jay","$28,007",D-CA
"Luria, Elaine","$26,924",D-VA
"Houlahan, Chrissy","$26,006",D-PA
"Deluzio, Christopher","$24,099",D-PA
"Spanberger, Abigail","$23,164",D-VA
"Schultz, Debbie Wasserman","$21,350",D-FL
"Malliotakis, Nicole","$20,600",R-NY
"Ehasz, Ashley","$19,900",D-PA
"Moulton, Seth","$19,668",D-MA
"Conole, Francis","$19,075",D-NY
"Castelli, Matt","$18,916",D-NY
"Schmidt, Patrick","$18,685",D-KS
"Sherrill, Mikie","$18,634",D-NJ
"Kim, Young","$18,002",R-CA
"Crow, Jason","$16,108",D-CO
"Jackson, Jeff","$15,975",D-NC
"Omar, Ilhan","$14,775",D-MN
"Green, Mark","$14,200",R-TN
"Garamendi, John","$13,350",D-CA
"Levin, Andy","$13,250",D-MI
"Calvert, Ken","$12,900",R-CA
"Jacobs, Matt","$12,800",R-CA
"Lynn, Eric","$12,750",D-FL
"Lieu, Ted","$12,374",D-CA
"Jones, Kermit","$12,340",D-CA
"Gallagher, Mike","$12,200",R-WI
"McCormick, Richard","$12,200",R-GA
"Gordon, Jacqueline","$12,025",D-NY
"Pallone, Frank Jr","$11,800",D-NJ
"Carbajal, Salud","$11,750",D-CA
"Pappas, Chris","$11,599",D-NH
"Lira, John","$11,500",D-TX
"Davis, Don","$11,000",D-NC
"Porter, Katie","$10,530",D-CA
"Kildee, Dan","$10,124",D-MI
"Auchincloss, Jake","$10,075",D-MA
"Gallego, Ruben","$10,000",D-AZ
"Panetta, Jimmy","$10,000",D-CA
"Ramirez, Ruben","$10,000",D-TX
"Sherman, Brad","$9,750",D-CA
"Torres, Ritchie","$9,700",D-NY
"Sites, Jeffrey","$9,428",D-OH
"Ferguson, Drew","$9,050",R-GA
"Cheney, Liz","$8,150",R-WY
"Villegas, Gilbert","$7,900",D-IL
"Quartey, Quaye","$7,650",D-CA
"Brown, Anthony","$7,183",D-MD
"Logemann, Jonathan","$7,175",D-IL
"Issa, Darrell","$6,800",R-CA
"James, John","$6,800",R-MI
"Steel, Michelle","$6,800",R-CA
"Murphy, Stephanie","$6,498",D-FL
"Ryan, Pat","$6,450",D-NY
"Tlaib, Rashida","$6,289",D-MI
"McGrath, Deb","$6,250",D-WI
"Gonzalez, Vicente","$6,000",D-TX
"Kahele, Kai","$6,000",D-HI
"Horsford, Steven","$5,900",D-NV
"Krishnamoorthi, Raja","$5,900",D-IL
"Edwards, Donna","$5,800",D-MD
"Goldman, Dan","$5,800",D-NY
"Underwood, Lauren A","$5,800",D-IL
"Craig, Angie","$5,799",D-MN
"Lee, Susie","$5,799",D-NV
"Garcia, Cassy","$5,650",R-TX
"Levin, Mike","$5,650",D-CA
"Green, Jennifer-Ruth","$5,400",R-IN
"Klee Hood, Sarah","$5,400",D-NY
"Smith, Christy","$5,399",D-CA
"Cisneros, Jessica","$5,200",D-TX
"Mason, Jessica","$5,100",D-TX
"Beach, Emily","$5,000",D-CA
"Branco, Patrick","$5,000",D-HI
"Brown, Gail Huff","$5,000",R-NH
"Hollier, Adam","$5,000",D-MI
"Jackson, Natalie","$5,000",D-FL
"Sorensen, Ben","$5,000",D-FL
"Stanton, Greg","$5,000",D-AZ
"Tedesco, Chaz","$5,000",D-CO
"Crane, Eli","$4,900",R-AZ
"Remillard, Josh","$4,900",D-NC
"Kean, Tom","$4,800",R-NJ
"Foster, Bill","$4,550",D-IL
"Adkins, Amanda","$4,400",R-KS
"Chavez-Deremer, Lori","$4,400",R-OR
"Kiggans, Jen","$4,400",R-VA
"Scheller, Lisa","$4,400",R-PA
"Lee, Barbara","$4,100",D-CA
"Neguse, Joseph","$4,061",D-CO
"Diaz-Balart, Mario","$4,000",R-FL
"Rogers, Mike D","$3,900",R-AL
"Jones, Mondaire","$3,500",D-NY
"Wild, Susan","$3,274",D-PA
"Khanna, Ro","$3,250",D-CA
"Peltola, Mary","$3,150",D-AK
"Sorensen, Eric","$3,149",D-IL
"Castro, Joaquin","$3,000",D-TX
"Budzinski, Nikki","$2,900",D-IL
"Fox, Joy","$2,900",D-RI
"McLeod-Skinner, Jamie","$2,900",D-OR
"Mowers, Matt","$2,900",R-NH
"Mrvan, Frank Jr","$2,900",D-IN
"Newman, Marie","$2,900",D-IL
"Riley, Josh","$2,900",D-NY
"Titus, Dina","$2,900",D-NV
"Zimmerman, Robert","$2,900",D-NY
"Davids, Sharice","$2,899",D-KS
"Kaptur, Marcy","$2,899",D-OH
"Scholten, Hillary","$2,899",D-MI
"Vasquez, Gabe","$2,899",D-NM
"McBath, Lucy","$2,750",D-GA
"Beutler, Jaime Herrera","$2,500",R-WA
"Buchanan, Vernon","$2,500",R-FL
"Click, Nathan","$2,500",D-NC
"De La Cruz, Monica","$2,500",R-TX
"Rocha, Joseph C.","$2,500",D-CA
"Rogers, Hal","$2,500",R-KY
"Stewart, Chris","$2,500",R-UT
"Bera, Ami","$2,100",D-CA
"Wilson, Joe","$2,100",R-SC
"Bishop, Sanford","$2,000",D-GA
"Perry, Scott","$2,000",R-PA
"Rodgers, Cathy McMorris","$2,000",R-WA
"Kinzinger, Adam","$1,750",R-IL
"Schiff, Adam","$1,750",D-CA
"Allam, Nida","$1,500",D-NC
"Beyer, Don","$1,500",D-VA
"Bourdeaux, Carolyn","$1,500",D-GA
"Herring, Wade","$1,500",D-GA
"Landsman, Greg","$1,450",D-OH
"Friese, Randy","$1,345",D-AZ
"Bush, Cori","$1,329",D-MO
"Dingell, Debbie","$1,300",D-MI
"Correa, Lou","$1,100",D-CA
"Baugh, Scott","$1,000",R-CA
"Bergman, John","$1,000",R-MI
"Bowman, Jamaal","$1,000",D-NY
"Chabot, Steve","$1,000",R-OH
"Cheney, Jamie","$1,000",D-NY
"Cole, Tom","$1,000",R-OK
"Fitzpatrick, Brian","$1,000",R-PA
"Gonzalez, Anthony","$1,000",R-OH
"Lee, Summer","$1,000",D-PA
"Luna, Anna Paulina","$1,000",R-FL
"Manning, Kathy","$1,000",D-NC
"Mooney, Alex","$1,000",R-WV
"Ortagus, Morgan","$1,000",R-TN
"Pelosi, Nancy","$1,000",D-CA
"Pressley, Ayanna","$1,000",D-MA
"Raskin, Jamie","$1,000",D-MD
"Ruiz, Raul","$1,000",D-CA
"Smith, Adam","$1,000",D-WA
"Wexton, Jennifer","$1,000",D-VA
"Hunt, Alexandra",$750,D-PA
"Aazami, Shervin",$500,D-CA
"Doggett, Lloyd",$500,D-TX
"Ellzey, Jake",$500,R-TX
"Harden, Dave",$500,D-MD
"Morgenthau, Sarah",$500,D-RI
"Takano, Mark",$500,D-CA
"McCarthy, Kevin",$450,R-CA
"Nunes, Devin",$400,R-CA
"Allred, Colin",$300,D-TX
"Wagner, Ann",$300,R-MO
"Delgado, Antonio",$250,D-NY
"Gallardo, Stephanie",$250,D-WA
"Johnson, Hank",$250,D-GA
"Kuster, Ann",$250,D-NH
"France, Mike",$175,R-CT
"Jayapal, Pramila",$27,D-WA
"Ocasio-Cortez, Alexandria",$1,D-NY
