Name,Amount,District
"Cartwright, Matt","$167,246",D-PA
"Kim, Andy","$120,318",D-NJ
"Bourdeaux, Carolyn","$78,400",D-GA
"Maloney, Sean Patrick","$75,875",D-NY
"Spanberger, Abigail","$75,399",D-VA
"Schrier, Kim","$72,498",D-WA
"Jeffries, Hakeem","$63,706",D-NY
"Porter, Katie","$63,070",D-CA
"Caraveo, Yadira","$59,871",D-CO
"Luria, Elaine","$48,000",D-VA
"Houlahan, Chrissy","$46,900",D-PA
"Malinowski, Tom","$46,396",D-NJ
"Ryan, Pat","$45,672",D-NY
"Axne, Cindy","$45,055",D-IA
"Curtis, John","$44,150",R-UT
"Hayes, Jahana","$42,425",D-CT
"Levin, Mike","$42,418",D-CA
"Wild, Susan","$41,658",D-PA
"Magaziner, Seth","$39,985",D-RI
"Slotkin, Elissa","$38,937",D-MI
"Vasquez, Gabe","$38,437",D-NM
"Stansbury, Melanie","$36,595",D-NM
"Lee, Susie","$35,471",D-NV
"Horsford, Steven","$35,098",D-NV
"Kildee, Dan","$32,691",D-MI
"Craig, Angie","$31,660",D-MN
"Davids, Sharice","$31,522",D-KS
"Pappas, Chris","$30,624",D-NH
"Gottheimer, Josh","$30,600",D-NJ
"Kuster, Ann","$30,236",D-NH
"Underwood, Lauren A","$29,755",D-IL
"Casten, Sean","$29,627",D-IL
"Peters, Scott","$28,760",D-CA
"Titus, Dina","$27,425",D-NV
"Stanton, Greg","$27,253",D-AZ
"Fletcher, Lizzie","$27,000",D-TX
"Scholten, Hillary","$26,464",D-MI
"Simpson, Mike","$26,300",R-ID
"Budzinski, Nikki","$25,650",D-IL
"Delgado, Antonio","$25,631",D-NY
"Moore, Blake","$25,550",R-UT
"Salinas, Andrea","$25,480",D-OR
"Tonko, Paul","$25,200",D-NY
"Nickel, Wiley","$24,905",D-NC
"Cisneros, Jessica","$24,502",D-TX
"Gordon, Jacqueline","$24,360",D-NY
"Newhouse, Dan","$23,950",R-WA
"Engel, Kirsten","$23,300",D-AZ
"Pelosi, Nancy","$23,089",D-CA
"Schiff, Adam","$21,644",D-CA
"DeGette, Diana","$21,400",D-CO
"Lee, Barbara","$21,295",D-CA
"Stevens, Haley","$21,244",D-MI
"Peltola, Mary","$20,967",D-AK
"Mizeur, Heather","$20,496",D-MD
"Mathis, Liz","$19,900",D-IA
"Valadao, David","$19,500",R-CA
"Meijer, Peter","$19,200",R-MI
"Tranel, Monica","$19,021",D-MT
"Graves, Garret","$18,650",R-LA
"Buchanan, Vernon","$18,400",R-FL
"Bohannan, Christina","$18,390",D-IA
"Mace, Nancy","$18,300",R-SC
"McEachin, Donald","$18,300",D-VA
"Huffman, Jared","$18,000",D-CA
"Smith, Christy","$17,807",D-CA
"Garbarino, Andrew","$17,800",R-NY
"Edwards, Donna","$17,592",D-MD
"Raskin, Jamie","$17,484",D-MD
"Rose, Max","$17,400",D-NY
"O'Halleran, Tom","$17,075",D-AZ
"Wexton, Jennifer","$16,910",D-VA
"Fitzpatrick, Brian","$16,767",R-PA
"Kilmer, Derek","$16,720",D-WA
"Riley, Josh","$16,532",D-NY
"Levin, Andy","$16,141",D-MI
"Lowenthal, Alan","$16,100",D-CA
"Fernandez, Teresa Leger","$16,083",D-NM
"Kaptur, Marcy","$15,850",D-OH
"Lynn, Eric","$15,350",D-FL
"Lee, Summer","$15,002",D-PA
"Beutler, Jaime Herrera","$15,000",R-WA
"Foster, Bill","$14,985",D-IL
"McLeod-Skinner, Jamie","$14,906",D-OR
"Carbajal, Salud","$14,700",D-CA
"Hoyle, Val","$14,700",D-OR
"Pallone, Frank Jr","$14,600",D-NJ
"Peterson, Karen Carter","$14,531",D-LA
"Flowers, Marcus","$14,292",D-GA
"Casar, Greg","$14,200",D-TX
"Jackson, Jeff","$13,650",D-NC
"Golden, Jared","$13,600",D-ME
"Jones, Kermit","$13,383",D-CA
"Pettersen, Brittany","$13,375",D-CO
"Grijalva, Raul M","$13,022",D-AZ
"Bacon, Donald John","$12,800",R-NE
"Vargas, Tony","$12,352",D-NE
"Sorensen, Eric","$12,010",D-IL
"Sykes, Emilia","$11,771",D-OH
"Hodge, Jevin","$11,700",D-AZ
"Chen, Jay","$11,650",D-CA
"Crow, Jason","$11,625",D-CO
"Amodei, Mark","$11,600",R-NV
"Cole, Tom","$11,600",R-OK
"Crenshaw, Dan","$11,600",R-TX
"Fleischmann, Chuck","$11,600",R-TN
"Hinson, Ashley","$11,600",R-IA
"Lucas, Frank D","$11,600",R-OK
"Rodgers, Cathy McMorris","$11,600",R-WA
"Walorski, Jackie","$11,600",R-IN
"Ross, Deborah","$11,500",D-NC
"Neguse, Joseph","$11,075",D-CO
"Taddeo, Annette","$10,843",D-FL
"DelBene, Suzan","$10,800",D-WA
"Miller-Meeks, Mariannette","$10,800",R-IA
"Bush, Cori","$10,420",D-MO
"DeLauro, Rosa","$10,050",D-CT
"Katko, John","$9,700",R-NY
"Conole, Francis","$9,515",D-NY
"Dingell, Debbie","$9,500",D-MI
"Landsman, Greg","$9,400",D-OH
"Turner, Nina","$9,366",D-OH
"Harder, Josh","$9,323",D-CA
"Doggett, Lloyd","$9,100",D-TX
"Vallejo, Michelle","$9,005",D-TX
"Manning, Kathy","$8,910",D-NC
"Case, Ed","$8,900",D-HI
"Clark, Katherine","$8,800",D-MA
"Collins, Kina","$8,760",D-IL
"Granger, Kay","$8,700",R-TX
"McHenry, Patrick","$8,700",R-NC
"Perez, Marie Gluesenkamp","$8,700",D-WA
"Weber, Randy","$8,700",R-TX
"Salazar, Maria","$8,550",R-FL
"Smith, Adam","$8,300",D-WA
"Canning, Doyle","$8,250",D-OR
"Larsen, Rick","$8,050",D-WA
"Costa, Jim","$7,800",D-CA
"Soto, Darren","$7,800",D-FL
"Maloney, Carolyn","$7,750",D-NY
"Sherrill, Mikie","$7,720",D-NJ
"Courtney, Joe","$7,600",D-CT
"Schneider, Brad","$7,600",D-IL
"McBath, Lucy","$7,560",D-GA
"Zimmerman, Robert","$7,500",D-NY
"Thompson, Mike","$7,300",D-CA
"Hoyer, Steny H","$7,050",D-MD
"Auchincloss, Jake","$6,875",D-MA
"Bentz, Cliff","$6,800",R-OR
"Westerman, Bruce","$6,800",R-AR
"Jayapal, Pramila","$6,786",D-WA
"Steel, Michelle","$6,700",R-CA
"Kim, Young","$6,600",R-CA
"Barragan, Nanette","$6,500",D-CA
"Fleming, Bridget","$6,460",D-NY
"Rollins, Will","$6,452",D-CA
"Castor, Kathy","$6,425",D-FL
"Mahmood, Asif","$6,425",D-CA
"Joyce, David P","$6,300",R-OH
"Mrvan, Frank Jr","$6,250",D-IN
"Deluzio, Christopher","$6,056",D-PA
"Rochester, Lisa Blunt","$6,013",D-DE
"Castro, Joaquin","$6,000",D-TX
"Gomez, Jimmy","$6,000",D-CA
"Ramirez, Delia","$5,850",D-IL
"Pfaff, Brad","$5,825",D-WI
"Armstrong, Kelly","$5,800",R-ND
"Arrington, Jodey","$5,800",R-TX
"Bucshon, Larry","$5,800",R-IN
"Calvert, Ken","$5,800",R-CA
"Carter, Buddy","$5,800",R-GA
"Diaz-Balart, Mario","$5,800",R-FL
"Donalds, Byron","$5,800",R-FL
"Duncan, Jeff","$5,800",R-SC
"Estes, Ron","$5,800",R-KS
"Ferguson, Drew","$5,800",R-GA
"Gallagher, Mike","$5,800",R-WI
"Garcia, Mike","$5,800",R-CA
"Gonzales, Tony","$5,800",R-TX
"Harshbarger, Diana","$5,800",R-TN
"Hudson, Richard","$5,800",R-NC
"Johnson, Bill","$5,800",R-OH
"Joyce, John","$5,800",R-PA
"Kean, Tom","$5,800",R-NJ
"Kinzinger, Adam","$5,800",R-IL
"LaHood, Darin","$5,800",R-IL
"Latta, Bob","$5,800",R-OH
"Lesko, Debbie","$5,800",R-AZ
"Mast, Brian","$5,800",R-FL
"McCarthy, Kevin","$5,800",R-CA
"McKinley, David","$5,800",R-WV
"Miller, Carol","$5,800",R-WV
"Moolenaar, John","$5,800",R-MI
"Murphy, Greg","$5,800",R-NC
"Obernolte, Jay","$5,800",R-CA
"Pence, Greg","$5,800",R-IN
"Pfluger, August","$5,800",R-TX
"Reschenthaler, Guy","$5,800",R-PA
"Rice, Tom","$5,800",R-SC
"Rogers, Hal","$5,800",R-KY
"Rouzer, David","$5,800",R-NC
"Rutherford, John","$5,800",R-FL
"Schweikert, David","$5,800",R-AZ
"Stefanik, Elise","$5,800",R-NY
"Stewart, Chris","$5,800",R-UT
"Timmons, William","$5,800",R-SC
"Upton, Fred","$5,800",R-MI
"Waltz, Michael","$5,800",R-FL
"Webster, Daniel","$5,800",R-FL
"Womack, Steve","$5,800",R-AR
"Brown, Shontel","$5,700",D-OH
"Ocasio-Cortez, Alexandria","$5,598",D-NY
"McGovern, James P","$5,500",D-MA
"Hinsdale, Kesha Ram","$5,480",D-VT
"Neumann, Cora","$5,350",D-MT
"Brownley, Julia","$5,250",D-CA
"Davis, Don","$5,016",D-NC
"Bonamici, Suzanne","$5,000",D-OR
"Crockett, Jasmine","$5,000",D-TX
"Russo, Allison","$5,000",D-OH
"Omar, Ilhan","$4,953",D-MN
"Salas, Rudy","$4,904",D-CA
"McCollum, Betty","$4,875",D-MN
"Frost, Maxwell","$4,849",D-FL
"Strickland, Marilyn","$4,800",D-WA
"Pingree, Chellie","$4,750",D-ME
"Beyer, Don","$4,600",D-VA
"Allred, Colin","$4,500",D-TX
"Gallego, Ruben","$4,447",D-AZ
"Bishop, Sanford","$4,400",D-GA
"Gray, Adam","$4,400",D-CA
"Foushee, Valerie","$4,175",D-NC
"Clarke, Yvette","$4,125",D-NY
"Khanna, Ro","$4,091",D-CA
"Gillen, Laura","$4,060",D-NY
"Frankel, Lois","$4,000",D-FL
"Krishnamoorthi, Raja","$4,000",D-IL
"Scott, Bobby","$4,000",D-VA
"Desaulnier, Mark","$3,900",D-CA
"Gonzalez, Vicente","$3,900",D-TX
"Segal, David","$3,900",D-RI
"Bustos, Cheri","$3,575",D-IL
"Marlinga, Carl","$3,575",D-MI
"Bowman, Jamaal","$3,538",D-NY
"Blumenauer, Earl","$3,500",D-OR
"Carter, Troy","$3,500",D-LA
"Quigley, Mike","$3,500",D-IL
"Scott, David","$3,500",D-GA
"Escobar, Veronica","$3,425",D-TX
"Coleman, Bonnie Watson","$3,350",D-NJ
"Pocan, Mark","$3,250",D-WI
"Scanlon, Mary Gay","$3,250",D-PA
"De Blasio, Bill","$3,150",D-NY
"DeFazio, Peter","$3,000",D-OR
"Diamond, Ben","$3,000",D-FL
"Garcia, Sylvia","$3,000",D-TX
"Morelle, Joseph D","$3,000",D-NY
"Ruiz, Raul","$3,000",D-CA
"Frisch, Adam","$2,920",D-CO
"Trone, David","$2,902",D-MD
"Burgess, Michael","$2,900",R-TX
"Daniels, Shamaine Ms","$2,900",D-PA
"Davis, Rodney","$2,900",R-IL
"Edwards, Chuck","$2,900",R-NC
"Fortenberry, Jeff","$2,900",R-NE
"Fox, Joy","$2,900",D-RI
"Foxx, Virginia","$2,900",R-NC
"Graves, Sam","$2,900",R-MO
"Harrigan, Pat","$2,900",R-NC
"Hunt, Wesley","$2,900",R-TX
"Kiley, Kevin","$2,900",R-CA
"Kustoff, David","$2,900",R-TN
"Laturner, Jake","$2,900",R-KS
"Malliotakis, Nicole","$2,900",R-NY
"Murphy, Brad","$2,900",R-NC
"Ramirez, Ruben","$2,900",D-TX
"Pressley, Ayanna","$2,871",D-MA
"Connolly, Gerry","$2,750",D-VA
"Decillis, Mike","$2,750",D-NY
"Panetta, Jimmy","$2,749",D-CA
"Kelly, Odessa","$2,608",D-TN
"Garcia, Jesus","$2,500",D-IL
"Kamlager, Sydney","$2,500",D-CA
"Lieu, Ted","$2,500",D-CA
"Matsui, Doris","$2,500",D-CA
"McGarvey, Morgan","$2,500",D-KY
"Williams, Nikema Natassha","$2,350",D-GA
"Balint, Becca","$2,268",D-VT
"Cicilline, David","$2,250",D-RI
"Dean, Madeleine","$2,250",D-PA
"Hardy, Omari","$2,250",D-FL
"Newman, Marie","$2,191",D-IL
"Schultz, Debbie Wasserman","$2,075",D-FL
"Jacobs, Sara","$2,050",D-CA
"Aguilar, Pete","$2,000",D-CA
"Beatty, Joyce","$2,000",D-OH
"Chu, Judy","$2,000",D-CA
"Green, Al","$2,000",D-TX
"Himes, Jim","$2,000",D-CT
"Jackson Lee, Sheila","$2,000",D-TX
"Johnson, Hank","$2,000",D-GA
"Morgenthau, Sarah","$2,000",D-RI
"Wheeless, Tanya","$2,000",R-AZ
"Tlaib, Rashida","$1,867",D-MI
"Castelli, Matt","$1,836",D-NY
"Tokuda, Jill","$1,825",D-HI
"Garamendi, John","$1,750",D-CA
"Marshall, Derek","$1,750",D-CA
"Trahan, Lori","$1,750",D-MA
"Ettinger, Jeff","$1,575",D-MN
"Schakowsky, Jan","$1,525",D-IL
"Cleaver, Emanuel","$1,500",D-MO
"Deutch, Ted","$1,500",D-FL
"Gashi, Vedat","$1,500",D-NY
"McCormick, Ray","$1,500",D-IN
"Meeks, Gregory","$1,500",D-NY
"Vargas, Juan","$1,500",D-CA
"Yarmuth, John","$1,500",D-KY
"Bera, Ami","$1,390",D-CA
"Lara, Angel","$1,350",D-CA
"Swalwell, Eric","$1,275",D-CA
"Campbell, Heidi","$1,250",D-TN
"Canepa, David","$1,250",D-CA
"Fajans-Turner, Vanessa","$1,250",D-NY
"Kelly, Robin","$1,250",D-IL
"Ramos Debarros, Brittany","$1,200",3-NY
"Goldman, Dan","$1,075",D-NY
"Thanedar, Shri","$1,075",D-MI
"Garcia, Robert","$1,025",D-CA
"Aazami, Shervin","$1,024",D-CA
"Sarbanes, John","$1,002",D-MD
"Aiken, Clay","$1,000",D-NC
"Cardenas, Tony","$1,000",D-CA
"Cohen, Steve","$1,000",D-TN
"Correa, Lou","$1,000",D-CA
"Crane, Eli","$1,000",R-AZ
"Duke, Brady","$1,000",R-FL
"Eshoo, Anna","$1,000",D-CA
"Espaillat, Adriano","$1,000",D-NY
"Higgins, Brian M","$1,000",D-NY
"Huq, Muzib","$1,000",D-NY
"Karr, Gregory","$1,000",D-SC
"Keating, Bill","$1,000",D-MA
"Larson, John","$1,000",D-CT
"Lawson, Al","$1,000",D-FL
"Makki, Amanda","$1,000",R-FL
"Meng, Grace","$1,000",D-NY
"Mfume, Kweisi","$1,000",D-MD
"Moskowitz, Jared","$1,000",D-FL
"Napolitano, Grace","$1,000",D-CA
