Name,Amount,District
"Schiff, Adam","$47,739",D-CA
"Porter, Katie","$26,940",D-CA
"Malinowski, Tom","$25,210",D-NJ
"Wexton, Jennifer","$25,100",D-VA
"Kim, Andy","$22,535",D-NJ
"Fletcher, Lizzie","$22,000",D-TX
"Wild, Susan","$18,700",D-PA
"Magaziner, Seth","$18,600",D-RI
"Schrier, Kim","$18,300",D-WA
"Fitzpatrick, Brian","$16,750",R-PA
"Luria, Elaine","$15,916",D-VA
"Pappas, Chris","$15,550",D-NH
"Craig, Angie","$14,985",D-MN
"Stanton, Greg","$14,705",D-AZ
"McBath, Lucy","$14,637",D-GA
"Spanberger, Abigail","$14,420",D-VA
"Maloney, Sean Patrick","$14,235",D-NY
"O'Halleran, Tom","$14,000",D-AZ
"Chen, Jay","$13,700",D-CA
"Stansbury, Melanie","$13,678",D-NM
"Hoyer, Steny H","$13,400",D-MD
"Raskin, Jamie","$13,076",D-MD
"Slotkin, Elissa","$12,940",D-MI
"Scholten, Hillary","$12,150",D-MI
"Smith, Christy","$12,050",D-CA
"Levin, Mike","$11,883",D-CA
"Crow, Jason","$11,850",D-CO
"Allred, Colin","$11,800",D-TX
"Underwood, Lauren A","$11,643",D-IL
"Axne, Cindy","$10,450",D-IA
"Davids, Sharice","$10,315",D-KS
"Jackson, Jeff","$9,293",D-NC
"Sherrill, Mikie","$9,200",D-NJ
"Nadler, Jerrold","$9,075",D-NY
"Fernandez, Teresa Leger","$9,050",D-NM
"Brownley, Julia","$8,800",D-CA
"Lee, Susie","$8,292",D-NV
"Jeffries, Hakeem","$8,150",D-NY
"Stevens, Haley","$7,900",D-MI
"Frost, Maxwell","$7,125",D-FL
"Himes, Jim","$6,975",D-CT
"Conole, Francis","$6,800",D-NY
"Kamlager, Sydney","$6,800",D-CA
"Kelly, Robin","$6,550",D-IL
"Cicilline, David","$6,500",D-RI
"Cartwright, Matt","$6,400",D-PA
"Gottheimer, Josh","$6,288",D-NJ
"Beyer, Don","$6,150",D-VA
"Harder, Josh","$6,103",D-CA
"Escobar, Veronica","$6,000",D-TX
"Scanlon, Mary Gay","$5,900",D-PA
"Beatty, Joyce","$5,500",D-OH
"Maloney, Carolyn","$5,500",D-NY
"Kildee, Dan","$5,300",D-MI
"Horsford, Steven","$5,250",D-NV
"Bourdeaux, Carolyn","$5,150",D-GA
"Neguse, Joseph","$5,000",D-CO
"Upton, Fred","$5,000",R-MI
"Dean, Madeleine","$4,900",D-PA
"Casten, Sean","$4,632",D-IL
"Ross, Deborah","$4,527",D-NC
"Clyburn, James E","$4,500",D-SC
"Sorensen, Eric","$4,500",D-IL
"Moskowitz, Jared","$4,450",D-FL
"Thompson, Mike","$4,400",D-CA
"Rochester, Lisa Blunt","$4,250",D-DE
"Titus, Dina","$4,150",D-NV
"DeLauro, Rosa","$4,080",D-CT
"Clark, Katherine","$4,000",D-MA
"Hayes, Jahana","$4,000",D-CT
"Jackson Lee, Sheila","$4,000",D-TX
"Deluzio, Christopher","$3,900",D-PA
"Riley, Josh","$3,900",D-NY
"Budzinski, Nikki","$3,821",D-IL
"Houlahan, Chrissy","$3,800",D-PA
"Meeks, Gregory","$3,750",D-NY
"Johnson, Hank","$3,500",D-GA
"Meng, Grace","$3,500",D-NY
"Veasey, Marc","$3,500",D-TX
"Andrews, Annie","$3,276",D-SC
"Schneider, Brad","$3,260",D-IL
"Rose, Max","$3,050",D-NY
"Schultz, Debbie Wasserman","$3,009",D-FL
"Aguilar, Pete","$3,000",D-CA
"Carbajal, Salud","$3,000",D-CA
"Casar, Greg","$3,000",D-TX
"Dingell, Debbie","$3,000",D-MI
"Jayapal, Pramila","$3,000",D-WA
"Ryan, Pat","$2,902",D-NY
"Hernandez, Daniel","$2,750",D-AZ
"Smith, Chris","$2,750",R-NJ
"Kuster, Ann","$2,645",D-NH
"Bohannan, Christina","$2,600",D-IA
"Garcia, Robert","$2,600",D-CA
"Auchincloss, Jake","$2,500",D-MA
"Mathis, Liz","$2,450",D-IA
"Ramirez, Delia","$2,250",D-IL
"Pressley, Ayanna","$2,072",D-MA
"Taddeo, Annette","$2,040",D-FL
"Bush, Cori","$2,000",D-MO
"Castro, Joaquin","$2,000",D-TX
"Chu, Judy","$2,000",D-CA
"Crockett, Jasmine","$2,000",D-TX
"Evans, Dwight","$2,000",D-PA
"Foushee, Valerie","$2,000",D-NC
"Frankel, Lois","$2,000",D-FL
"Gallego, Ruben","$2,000",D-AZ
"Goldman, Dan","$2,000",D-NY
"Gomez, Jimmy","$2,000",D-CA
"Gonzalez, Vicente","$2,000",D-TX
"Hoyle, Val","$2,000",D-OR
"Jackson, Jonathan","$2,000",D-IL
"McEachin, Donald","$2,000",D-VA
"McGarvey, Morgan","$2,000",D-KY
"Menendez, Rob","$2,000",D-NJ
"Newman, Marie","$2,000",D-IL
"Nickel, Wiley","$2,000",D-NC
"Peters, Scott","$2,000",D-CA
"Ruiz, Raul","$2,000",D-CA
"Tokuda, Jill","$2,000",D-HI
"Williams, Nikema Natassha","$2,000",D-GA
"Hawk, Danielle","$1,888",D-FL
"Vasquez, Gabe","$1,560",D-NM
"Boyle, Brendan","$1,500",D-PA
"Harris-Till, Joshua","$1,500",D-OK
"Lee, Barbara","$1,500",D-CA
"Pettersen, Brittany","$1,500",D-CO
"Caraveo, Yadira","$1,250",D-CO
"Salinas, Andrea","$1,250",D-OR
"Torres, Ritchie","$1,250",D-NY
"Panetta, Jimmy","$1,125",D-CA
"Jones, Mondaire","$1,100",D-NY
"Balint, Becca","$1,000",D-VT
"Banyai, Cindy","$1,000",D-FL
"Bonamici, Suzanne","$1,000",D-OR
"Bowman, Jamaal","$1,000",D-NY
"Brown, Shontel","$1,000",D-OH
"Cohen, Steve","$1,000",D-TN
"DeFazio, Peter","$1,000",D-OR
"DeGette, Diana","$1,000",D-CO
"Gentle, Adam","$1,000",D-FL
"Gillen, Laura","$1,000",D-NY
"Gimenez, Carlos","$1,000",R-FL
"Jacobs, Sara","$1,000",D-CA
"Kahele, Kai","$1,000",D-HI
"Kind, Ron","$1,000",D-WI
"Lee, Summer","$1,000",D-PA
"Lieu, Ted","$1,000",D-CA
"Matsui, Doris","$1,000",D-CA
"McDowell, Jan","$1,000",D-TX
"Mfume, Kweisi","$1,000",D-MD
"Moulton, Seth","$1,000",D-MA
"Mrvan, Frank Jr","$1,000",D-IN
"Murphy, Stephanie","$1,000",D-FL
"Pallone, Frank Jr","$1,000",D-NJ
"Pocan, Mark","$1,000",D-WI
"Quigley, Mike","$1,000",D-IL
"Ruppersberger, Dutch","$1,000",D-MD
"Salas, Rudy","$1,000",D-CA
"Salazar, Maria","$1,000",R-FL
"Strickland, Marilyn","$1,000",D-WA
"Thanedar, Shri","$1,000",D-MI
"Torres, Norma","$1,000",D-CA
"Trahan, Lori","$1,000",D-MA
"Gray, Molly",$650,D-VT
"Hamilton, Jane",$500,D-TX
"Parker, Andy",$500,D-VA
"Swalwell, Eric",$499,D-CA
"Delgado, Antonio",$400,D-NY
"Friese, Randy",$250,D-AZ
"Mizeur, Heather",$250,D-MD
"Oliver, Brittany",$250,D-MD
"Christian, Bob",$247,D-GA
"Collins, Kina",$200,D-IL
"Ocasio-Cortez, Alexandria",$3,D-NY
"Sykes, Emilia",$-500,D-OH
"Manning, Kathy",$-900,D-NC
"Pelosi, Nancy","$-12,389",D-CA
