Name,Amount,District
"Crenshaw, Dan","$145,605",R-TX
"Scalise, Steve","$93,460",R-LA
"Boebert, Lauren","$68,198",R-CO
"McCarthy, Kevin","$55,765",R-CA
"Spartz, Victoria","$51,651",R-IN
"Jordan, Jim","$48,052",R-OH
"Zinke, Ryan","$41,546",R-MT
"Garcia, Mike","$40,734",R-CA
"Stefanik, Elise","$37,191",R-NY
"Emmer, Tom","$34,210",R-MN
"Van Orden, Derrick","$32,650",R-WI
"Hudson, Richard","$30,600",R-NC
"Pfluger, August","$29,975",R-TX
"Peters, Sam","$29,273",R-NV
"Hageman, Harriet","$28,921",R-WY
"Calvert, Ken","$28,785",R-CA
"Kistner, Tyler","$27,587",R-MN
"Gonzales, Tony","$27,105",R-TX
"Reschenthaler, Guy","$25,904",R-PA
"Perry, Scott","$25,463",R-PA
"Steel, Michelle","$25,339",R-CA
"James, John","$25,209",R-MI
"Rosendale, Matt","$25,154",R-MT
"Thompson, Glenn","$24,681",R-PA
"Kim, Young","$23,706",R-CA
"Herrell, Yvette","$23,702",R-NM
"Pence, Greg","$23,521",R-IN
"Gosar, Paul","$22,100",R-AZ
"De La Cruz, Monica","$21,170",R-TX
"Nunn, Zach","$20,930",R-IA
"Roy, Chip","$20,434",R-TX
"Owens, Burgess","$20,341",R-UT
"Duncan, Jeff","$20,328",R-SC
"Green, Mark","$20,250",R-TN
"Huizenga, Bill","$19,302",R-MI
"Clyde, Andrew","$19,100",R-GA
"Hinson, Ashley","$18,625",R-IA
"Rodgers, Cathy McMorris","$18,505",R-WA
"Biggs, Andy","$18,333",R-AZ
"Green, Jennifer-Ruth","$18,206",R-IN
"Hunt, Wesley","$18,065",R-TX
"Donalds, Byron","$17,675",R-FL
"Tiffany, Tom","$17,650",R-WI
"Mace, Nancy","$17,515",R-SC
"Ellzey, Jake","$17,255",R-TX
"Buck, Ken","$17,244",R-CO
"Foxx, Virginia","$16,880",R-NC
"Fitzgerald, Scott","$16,850",R-WI
"Armstrong, Kelly","$16,700",R-ND
"Lesko, Debbie","$16,568",R-AZ
"Feenstra, Randy","$16,515",R-IA
"Miller-Meeks, Mariannette","$16,510",R-IA
"Burchett, Tim","$16,460",R-TN
"Walberg, Tim","$16,434",R-MI
"Hood, Ron","$16,400",R-OH
"Cammack, Kat","$16,310",R-FL
"Joyce, John","$16,273",R-PA
"Bergman, John","$16,260",R-MI
"Westerman, Bruce","$16,200",R-AR
"Adkins, Amanda","$15,839",R-KS
"Ciscomani, Juan","$15,700",R-AZ
"Becker, April","$15,551",R-NV
"Cloud, Michael","$15,409",R-TX
"Grothman, Glenn S","$14,894",R-WI
"Good, Bob","$14,800",R-VA
"Mooney, Alex","$14,605",R-WV
"Newhouse, Dan","$14,474",R-WA
"Chavez-Deremer, Lori","$14,104",R-OR
"Jackson, Ronny","$13,812",R-TX
"Schweikert, David","$13,800",R-AZ
"Crane, Eli","$13,700",R-AZ
"Finstad, Brad","$13,650",R-MN
"Scheller, Lisa","$13,350",R-PA
"Fischbach, Michelle","$13,090",R-MN
"Ferguson, Drew","$12,800",R-GA
"Moore, Blake","$12,633",R-UT
"Barrett, Tom","$12,450",R-MI
"Aderholt, Robert B","$12,243",R-AL
"Luttrell, Morgan","$12,200",R-TX
"Stauber, Pete","$12,000",R-MN
"Hines, Bo","$11,945",R-NC
"McClintock, Tom","$11,940",R-CA
"Cole, Tom","$11,825",R-OK
"Schmitt, Colin","$11,615",R-NY
"Kelly, Mike","$11,550",R-PA
"Kirkmeyer, Barb","$11,550",R-CO
"Bentz, Cliff","$11,517",R-OR
"Tenney, Claudia","$11,405",R-NY
"Chabot, Steve","$11,250",R-OH
"Harris, Andy","$11,240",R-MD
"Sessions, Pete","$11,000",R-TX
"Williams, Roger","$10,800",R-TX
"Issa, Darrell","$10,664",R-CA
"Barr, Andy","$10,575",R-KY
"Cline, Ben","$10,450",R-VA
"Stewart, Chris","$10,410",R-UT
"McHenry, Patrick","$10,400",R-NC
"King, Esther Joy","$10,358",R-IL
"Skarlatos, Alek","$10,220",R-OR
"Larkin, Matt","$10,050",R-WA
"Beutler, Jaime Herrera","$10,021",R-WA
"Curtis, John","$10,007",R-UT
"Golden, Jared","$10,000",D-ME
"Johnson, Dusty","$10,000",R-SD
"Waltz, Michael","$9,976",R-FL
"Arrington, Jodey","$9,946",R-TX
"Vega, Yesli","$9,855",R-VA
"Amodei, Mark","$9,750",R-NV
"Valadao, David","$9,550",R-CA
"Rutherford, John","$9,000",R-FL
"Franklin, Scott","$8,954",R-FL
"Johnson, Mike","$8,950",R-LA
"Moolenaar, John","$8,866",R-MI
"Junge, Paul","$8,850",R-MI
"Kent, Joe","$8,850",R-WA
"Leavitt, Karoline","$8,650",R-NH
"Wittman, Rob","$8,549",R-VA
"Mills, Cory","$8,450",R-FL
"Wagner, Ann","$8,448",R-MO
"Miller, Mary","$8,337",R-IL
"Nehls, Troy","$8,250",R-TX
"Edwards, Chuck","$8,150",R-NC
"Letlow, Julia","$8,100",R-LA
"Banks, Jim","$7,930",R-IN
"Bacon, Donald John","$7,925",R-NE
"Flood, Mike","$7,900",R-NE
"Steube, Greg","$7,851",R-FL
"Luna, Anna Paulina","$7,760",R-FL
"Simpson, Mike","$7,500",R-ID
"Weber, Randy","$7,500",R-TX
"Massie, Thomas","$7,450",R-KY
"Carter, Buddy","$7,400",R-GA
"Bice, Stephanie","$7,367",R-OK
"Rose, John","$7,350",R-TN
"Smith, Jason","$7,220",R-MO
"Molinaro, Marc","$7,150",R-NY
"Carey, Mike","$7,050",R-OH
"Granger, Kay","$7,000",R-TX
"Timmons, William","$7,000",R-SC
"Wilson, Joe","$7,000",R-SC
"Kiggans, Jen","$6,950",R-VA
"Gooden, Lance","$6,900",R-TX
"Smith, Adrian","$6,900",R-NE
"Cooper, Kelly","$6,854",R-AZ
"Palazzo, Steven","$6,837",R-MS
"Baugh, Scott","$6,800",R-CA
"Bognet, Jim","$6,800",R-PA
"Jones, Scott","$6,775",R-CA
"Bishop, Dan","$6,770",R-NC
"McClain, Lisa","$6,500",R-MI
"Gilbert, Madison Gesiotto","$6,405",R-OH
"Murphy, Greg","$6,400",R-NC
"Womack, Steve","$6,350",R-AR
"Scott, Austin","$6,250",R-GA
"Majewski, J R","$6,175",R-OH
"Kelly, Trent","$6,100",R-MS
"Van Drew, Jeff","$6,085",R-NJ
"Fulcher, Russ","$6,000",R-ID
"Joyce, David P","$6,000",R-OH
"Young, Don","$5,750",R-AK
"Steil, Bryan","$5,600",R-WI
"Fortenberry, Jeff","$5,500",R-NE
"Guest, Michael","$5,500",R-MS
"Laturner, Jake","$5,500",R-KS
"Taylor, Van","$5,450",R-TX
"Van Duyne, Beth","$5,447",R-TX
"Dunn, Reagan","$5,400",R-WA
"Palin, Sarah","$5,400",R-AK
"Babin, Brian","$5,337",R-TX
"Higgins, Clay","$5,330",R-LA
"Hagedorn, Jim","$5,300",R-MN
"Norman, Ralph","$5,175",R-SC
"McCormick, Richard","$5,110",R-GA
"Obernolte, Jay","$5,025",R-CA
"Fleischmann, Chuck","$5,000",R-TN
"Hern, Kevin","$5,000",R-OK
"Johnson, Bill","$5,000",R-OH
"Kustoff, David","$5,000",R-TN
"Latta, Bob","$5,000",R-OH
"Rogers, Mike D","$5,000",R-AL
"Davidson, Warren","$4,950",R-OH
"Lamborn, Doug","$4,950",R-CO
"Williams, Brandon","$4,950",R-NY
"Carl, Jerry","$4,945",R-AL
"Graves, Garret","$4,800",R-LA
"Graves, Sam","$4,800",R-MO
"Wenstrup, Brad","$4,745",R-OH
"Lauf, Catalina","$4,690",R-IL
"Moran, Nathaniel","$4,600",R-TX
"Broun, Paul","$4,500",R-GA
"Houchin, Erin","$4,500",R-IN
"Carter, John","$4,490",R-TX
"Gallagher, Mike","$4,440",R-WI
"Dunn, Neal","$4,401",R-FL
"Miller, Carol","$4,388",R-WV
"Griffith, Morgan","$4,300",R-VA
"Posey, Bill","$4,250",R-FL
"Davis, Rodney","$4,145",R-IL
"Burlison, Eric","$4,100",R-MO
"Allen, Richard W","$4,000",R-GA
"Baird, Jim","$4,000",R-IN
"Brecheen, Josh","$4,000",R-OK
"Desjarlais, Scott","$4,000",R-TN
"Diaz-Balart, Mario","$4,000",R-FL
"Loudermilk, Barry","$4,000",R-GA
"Lucas, Frank D","$4,000",R-OK
"Rouzer, David","$4,000",R-NC
"Rice, Tom","$3,800",R-SC
"Smucker, Lloyd","$3,750",R-PA
"LaHood, Darin","$3,530",R-IL
"Comer, James","$3,500",R-KY
"Cuellar, Henry","$3,500",D-TX
"Mann, Tracey","$3,450",R-KS
"Flores, Mayra","$3,429",R-TX
"Burgess, Michael","$3,250",R-TX
"Kiley, Kevin","$3,250",R-CA
"Harshbarger, Diana","$3,100",R-TN
"Walorski, Jackie","$3,050",R-IN
"Bucshon, Larry","$3,000",R-IN
"Crawford, Rick","$3,000",R-AR
"Estes, Ron","$3,000",R-KS
"Fallon, Patrick","$3,000",R-TX
"Fry, Russell","$3,000",R-SC
"Guthrie, Brett","$3,000",R-KY
"Hill, French","$3,000",R-AR
"Meuser, Dan","$3,000",R-PA
"Ogles, Andy","$3,000",R-TN
"LaLota, Nick","$2,954",R-NY
"Robertson, Mark","$2,901",R-NV
"Bost, Mike","$2,800",R-IL
"Sabatini, Anthony","$2,750",R-FL
