Name,Amount,District
"Chen, Jay","$122,853",D-CA
"Cole, Tom","$121,800",R-OK
"Maloney, Sean Patrick","$118,845",D-NY
"Kim, Andy","$117,577",D-NJ
"Schiff, Adam","$116,324",D-CA
"Salazar, Maria","$108,250",R-FL
"Krishnamoorthi, Raja","$107,737",D-IL
"Spartz, Victoria","$107,695",R-IN
"Meeks, Gregory","$99,264",D-NY
"Takano, Mark","$97,051",D-CA
"Cheney, Liz","$91,855",R-WY
"Underwood, Lauren A","$88,831",D-IL
"Collins, Joe","$84,623",R-CA
"Pappas, Chris","$81,200",D-NH
"Craig, Angie","$80,563",D-MN
"Slotkin, Elissa","$80,095",D-MI
"Malinowski, Tom","$79,467",D-NJ
"McCarthy, Kevin","$74,512",R-CA
"Rollins, Will","$71,163",D-CA
"McBath, Lucy","$70,421",D-GA
"Davids, Sharice","$70,004",D-KS
"Horsford, Steven","$68,846",D-NV
"Porter, Katie","$67,191",D-CA
"Vargas, Tony","$66,290",D-NE
"Hayes, Jahana","$66,102",D-CT
"Harder, Josh","$65,258",D-CA
"Raskin, Jamie","$64,675",D-MD
"Magaziner, Seth","$63,900",D-RI
"Calvert, Ken","$63,666",R-CA
"Gonzales, Tony","$63,207",R-TX
"Pelosi, Nancy","$63,158",D-CA
"Sykes, Emilia","$62,455",D-OH
"Bishop, Sanford","$62,062",D-GA
"Gordon, Jacqueline","$61,954",D-NY
"Mizeur, Heather","$58,991",D-MD
"Caraveo, Yadira","$56,995",D-CO
"McCormick, Richard","$56,449",R-GA
"Fernandez, Teresa Leger","$55,455",D-NM
"Jackson, Ronny","$54,852",R-TX
"Salinas, Andrea","$54,785",D-OR
"Strickland, Marilyn","$53,375",D-WA
"Blackman, Walt","$52,992",R-AZ
"Salas, Rudy","$52,254",D-CA
"Jeffries, Hakeem","$51,800",D-NY
"Schrier, Kim","$51,333",D-WA
"Luria, Elaine","$50,827",D-VA
"Vasquez, Gabe","$50,312",D-NM
"Kim, Young","$48,975",R-CA
"Kildee, Dan","$48,913",D-MI
"Zimmerman, Robert","$48,041",D-NY
"Lee, Susie","$47,078",D-NV
"Brown, Shontel","$46,612",D-OH
"James, John","$46,105",R-MI
"Tlaib, Rashida","$46,065",D-MI
"Cicilline, David","$45,700",D-RI
"Spanberger, Abigail","$45,440",D-VA
"Taddeo, Annette","$44,183",D-FL
"Wild, Susan","$43,430",D-PA
"Sorensen, Eric","$43,128",D-IL
"Garcia, Robert","$42,661",D-CA
"Houlahan, Chrissy","$41,862",D-PA
