Name,Amount,District
"Schrier, Kim","$75,324",D-WA
"Malinowski, Tom","$38,700",D-NJ
"Lee, Susie","$37,549",D-NV
"Wild, Susan","$34,849",D-PA
"Luria, Elaine","$29,291",D-VA
"Pappas, Chris","$28,840",D-NH
"Spanberger, Abigail","$27,050",D-VA
"Cisneros, Jessica","$26,956",D-TX
"Craig, Angie","$26,750",D-MN
"Axne, Cindy","$25,675",D-IA
"Stanton, Greg","$25,650",D-AZ
"Titus, Dina","$25,500",D-NV
"Golden, Jared","$24,100",D-ME
"Horsford, Steven","$24,050",D-NV
"Caraveo, Yadira","$23,498",D-CO
"Porter, Katie","$22,319",D-CA
"Underwood, Lauren A","$22,313",D-IL
"Sherrill, Mikie","$21,750",D-NJ
"O'Halleran, Tom","$21,650",D-AZ
"Pettersen, Brittany","$21,650",D-CO
"Maloney, Sean Patrick","$21,365",D-NY
"Slotkin, Elissa","$21,051",D-MI
"Ryan, Pat","$20,300",D-NY
"Landsman, Greg","$20,150",D-OH
"Davids, Sharice","$19,999",D-KS
"Smith, Christy","$19,550",D-CA
"Budzinski, Nikki","$19,250",D-IL
"Pelosi, Nancy","$18,801",D-CA
"Harder, Josh","$18,181",D-CA
"Perez, Marie Gluesenkamp","$17,385",D-WA
"Jackson, Jeff","$16,550",D-NC
"Fletcher, Lizzie","$16,200",D-TX
"Kim, Andy","$16,150",D-NJ
"Gottheimer, Josh","$16,050",D-NJ
"Kuster, Ann","$15,700",D-NH
"Clark, Katherine","$15,000",D-MA
"Scholten, Hillary","$15,000",D-MI
"Wexton, Jennifer","$14,250",D-VA
"Engel, Kirsten","$14,000",D-AZ
"Williams, Nikema Natassha","$13,925",D-GA
"Houlahan, Chrissy","$13,750",D-PA
"Salinas, Andrea","$13,550",D-OR
"Jeffries, Hakeem","$13,300",D-NY
"Riley, Josh","$12,900",D-NY
"Hoyle, Val","$12,856",D-OR
"Bohannan, Christina","$12,800",D-IA
"Levin, Mike","$12,750",D-CA
"Foster, Bill","$12,600",D-IL
"Mathis, Liz","$12,575",D-IA
"Taddeo, Annette","$12,500",D-FL
"Stevens, Haley","$11,075",D-MI
"Deluzio, Christopher","$11,000",D-PA
"Gray, Adam","$10,800",D-CA
"Sykes, Emilia","$10,699",D-OH
"Conole, Francis","$10,500",D-NY
"Kildee, Dan","$10,500",D-MI
"Vasquez, Gabe","$10,500",D-NM
"Bourdeaux, Carolyn","$10,307",D-GA
"Casten, Sean","$10,100",D-IL
"Chen, Jay","$10,000",D-CA
"Gillen, Laura","$10,000",D-NY
"Hodge, Jevin","$10,000",D-AZ
"Hayes, Jahana","$9,750",D-CT
"Fernandez, Teresa Leger","$9,725",D-NM
"Peltola, Mary","$9,600",D-AK
"Rose, Max","$9,500",D-NY
"Lee, Barbara","$9,225",D-CA
"Gordon, Jacqueline","$9,000",D-NY
"Vargas, Tony","$8,975",D-NE
"Magaziner, Seth","$8,750",D-RI
"Fleming, Bridget","$8,500",D-NY
"Mahmood, Asif","$8,500",D-CA
"Vallejo, Michelle","$8,500",D-TX
"McLeod-Skinner, Jamie","$8,320",D-OR
"Jones, Kermit","$8,000",D-CA
"Nickel, Wiley","$8,000",D-NC
"Salas, Rudy","$7,900",D-CA
"Sorensen, Eric","$7,850",D-IL
"Manning, Kathy","$7,750",D-NC
"Hoyer, Steny H","$7,500",D-MD
"Zimmerman, Robert","$7,500",D-NY
"McBath, Lucy","$7,350",D-GA
"Brownley, Julia","$7,050",D-CA
"Rollins, Will","$7,000",D-CA
"Neguse, Joseph","$6,975",D-CO
"McGarvey, Morgan","$6,000",D-KY
"Mrvan, Frank Jr","$6,000",D-IN
"Kamlager, Sydney","$5,850",D-CA
"Gallego, Ruben","$5,800",D-AZ
"DeGette, Diana","$5,550",D-CO
"Allred, Colin","$5,250",D-TX
"Courtney, Joe","$5,250",D-CT
"Pressley, Ayanna","$5,112",D-MA
"Bishop, Sanford","$5,000",D-GA
"Pfaff, Brad","$5,000",D-WI
"Stansbury, Melanie","$4,750",D-NM
"DeFazio, Peter","$4,500",D-OR
"Nadler, Jerrold","$4,500",D-NY
"Delgado, Antonio","$4,000",D-NY
"Crow, Jason","$3,800",D-CO
"Foushee, Valerie","$3,750",D-NC
"Bush, Cori","$3,613",D-MO
"Newman, Marie","$3,600",D-IL
"Ehasz, Ashley","$3,500",D-PA
"Jones, Mondaire","$3,500",D-NY
"Lofgren, Zoe","$3,500",D-CA
"Frost, Maxwell","$3,260",D-FL
"Lee, Summer","$3,155",D-PA
"Donovan, Kerry","$3,100",D-CO
"Balint, Becca","$3,000",D-VT
