Name,Amount,District
"Brown, Shontel","$1,018,786",D-OH
"Stevens, Haley","$797,226",D-MI
"Ivey, Glenn","$756,695",D-MD
"Luria, Elaine","$723,458",D-VA
"Irwin, Steven","$689,487",D-PA
"Gottheimer, Josh","$488,632",D-NJ
"Jeffries, Hakeem","$439,790",D-NY
"Foushee, Valerie","$426,455",D-NC
"Levin, Andy","$298,377",D-MI
"Torres, Ritchie","$291,961",D-NY
"Hoyer, Steny H","$276,791",D-MD
"Davis, Don","$269,328",D-NC
"Bacon, Donald John","$249,174",R-NE
"Manning, Kathy","$237,209",D-NC
"Malinowski, Tom","$178,503",D-NJ
"McCarthy, Kevin","$159,982",R-CA
"Slotkin, Elissa","$158,100",D-MI
"Winfrey, Janice","$149,673",D-MI
"Mast, Brian","$138,866",R-FL
"Spanberger, Abigail","$137,002",D-VA
"Steel, Michelle","$134,754",R-CA
"Hernandez, Daniel","$134,445",D-AZ
"Axne, Cindy","$132,874",D-IA
"Auchincloss, Jake","$131,986",D-MA
"Meeks, Gregory","$128,229",D-NY
"Kim, Andy","$127,880",D-NJ
"Calvert, Ken","$127,827",R-CA
"Cheney, Liz","$126,735",R-WY
"Harder, Josh","$125,794",D-CA
"Schneider, Brad","$121,535",D-IL
"Pappas, Chris","$117,248",D-NH
"Scalise, Steve","$116,534",R-LA
"Aguilar, Pete","$116,200",D-CA
"Gonzalez, Vicente","$115,781",D-TX
"Kim, Young","$112,596",R-CA
"Levin, Mike","$111,787",D-CA
"Salazar, Maria","$111,296",R-FL
"Hollier, Adam","$107,510",D-MI
"Schultz, Debbie Wasserman","$107,260",D-FL
"Clyburn, James E","$104,000",D-SC
"Schrier, Kim","$103,869",D-WA
"Frankel, Lois","$99,660",D-FL
"Gimenez, Carlos","$96,562",R-FL
"Scholten, Hillary","$95,728",D-MI
"Golden, Jared","$93,046",D-ME
"Titus, Dina","$92,493",D-NV
"Kildee, Dan","$90,946",D-MI
"Budzinski, Nikki","$90,395",D-IL
"Davids, Sharice","$88,762",D-KS
"Gallagher, Mike","$88,300",R-WI
"Scheller, Lisa","$87,220",R-PA
"Raskin, Jamie","$82,326",D-MD
"Schiff, Adam","$82,315",D-CA
"Granger, Kay","$82,150",R-TX
"Meng, Grace","$81,200",D-NY
"Lynn, Eric","$79,810",D-FL
"Malliotakis, Nicole","$77,700",R-NY
"Chen, Jay","$76,600",D-CA
"Garcia, Mike","$76,427",R-CA
"Jones, Mondaire","$76,290",D-NY
"Barr, Andy","$75,700",R-KY
"Garcia, Robert","$75,700",D-CA
"Clark, Katherine","$75,183",D-MA
"Porter, Katie","$74,461",D-CA
"Allred, Colin","$74,237",D-TX
"Fitzpatrick, Brian","$71,906",R-PA
"Bohannan, Christina","$71,451",D-IA
"Cardenas, Tony","$69,900",D-CA
"Menendez, Rob","$69,550",D-NJ
"Vargas, Juan","$68,900",D-CA
"Crenshaw, Dan","$68,600",R-TX
"Salinas, Andrea","$68,525",D-OR
"Norcross, Don","$68,290",D-NJ
"Stefanik, Elise","$66,505",R-NY
"Maloney, Sean Patrick","$66,225",D-NY
"Foster, Bill","$65,617",D-IL
"Sherman, Brad","$65,590",D-CA
"Maloney, Carolyn","$65,303",D-NY
"Wild, Susan","$65,258",D-PA
"Sherrill, Mikie","$65,020",D-NJ
"Boyle, Brendan","$62,850",D-PA
"Aderholt, Robert B","$62,650",R-AL
"Wilson, Joe","$62,050",R-SC
"Kean, Tom","$61,650",R-NJ
"Casten, Sean","$61,512",D-IL
"Krishnamoorthi, Raja","$61,400",D-IL
"Edwards, Donna","$61,292",D-MD
"Morelle, Joseph D","$60,625",D-NY
"Sorensen, Eric","$59,902",D-IL
"Joyce, David P","$59,850",R-OH
"Cisneros, Jessica","$59,848",D-TX
"Jacobs, Matt","$59,525",R-CA
"Caraveo, Yadira","$59,473",D-CO
"Schakowsky, Jan","$58,542",D-IL
"Nadler, Jerrold","$57,208",D-NY
"McLeod-Skinner, Jamie","$56,471",D-OR
"Cuellar, Henry","$56,300",D-TX
"Mathis, Liz","$55,791",D-IA
"Barragan, Nanette","$55,000",D-CA
"Cartwright, Matt","$54,700",D-PA
"Diaz-Balart, Mario","$54,350",R-FL
"DeLauro, Rosa","$53,300",D-CT
"Davis, Rodney","$52,287",R-IL
"Pelosi, Nancy","$51,985",D-CA
"Neal, Richard E","$51,800",D-MA
"McHenry, Patrick","$51,600",R-NC
"Kaptur, Marcy","$51,150",D-OH
"Jackson, Ronny","$50,875",R-TX
"Scott, David","$50,700",D-GA
"Crow, Jason","$50,575",D-CO
"Gallego, Ruben","$50,500",D-AZ
"Valadao, David","$50,418",R-CA
"Kilmer, Derek","$50,350",D-WA
"Perry, Scott","$50,350",R-PA
"Stanton, Greg","$50,350",D-AZ
"Cole, Tom","$50,150",R-OK
"Schweikert, David","$49,614",R-AZ
