Name,Amount,District
"De La Cruz, Monica","$37,218",R-TX
"Green, Jennifer-Ruth","$33,493",R-IN
"Vega, Yesli","$30,018",R-VA
"Flores, Mayra","$27,950",R-TX
"Herrell, Yvette","$26,750",R-NM
"King, Esther Joy","$26,493",R-IL
"Garcia, Cassy","$23,168",R-TX
"Smith, Chris","$22,685",R-NJ
"Tenney, Claudia","$19,898",R-NY
"Garcia, Mike","$17,125",R-CA
"Skarlatos, Alek","$16,983",R-OR
"Schmitt, Colin","$16,868",R-NY
"Butler, Chris","$16,750",D-IL
"Adkins, Amanda","$16,068",R-KS
"Wagner, Ann","$14,340",R-MO
"Gilbert, Madison Gesiotto","$13,578",R-OH
"Chabot, Steve","$13,300",R-OH
"Mooney, Alex","$12,500",R-WV
"Rodgers, Cathy McMorris","$11,985",R-WA
"Spartz, Victoria","$11,920",R-IN
"Larkin, Matt","$11,818",R-WA
"Chavez-Deremer, Lori","$11,018",R-OR
"Wright, Susan","$10,000",R-TX
"Nunn, Zach","$9,483",R-IA
"Shaffer, Jeremy","$9,268",R-PA
"Boebert, Lauren","$9,145",R-CO
"Fischbach, Michelle","$8,949",R-MN
"Peters, Sam","$8,668",R-NV
"Bacon, Donald John","$8,579",R-NE
"James, John","$8,275",R-MI
"Luna, Anna Paulina","$8,268",R-FL
"Miller-Meeks, Mariannette","$8,150",R-IA
"Stefanik, Elise","$8,150",R-NY
"Hood, Ron","$7,900",R-OH
"Mace, Nancy","$7,800",R-SC
"Bognet, Jim","$7,768",R-PA
"Parrott, Neil","$7,575",R-MD
"Barrett, Tom","$7,418",R-MI
"Estes, Ron","$7,300",R-KS
"Lawson, Jeanine M","$7,100",R-VA
"Kirkmeyer, Barb","$7,000",R-CO
"Hinson, Ashley","$6,650",R-IA
"Bentz, Cliff","$6,000",R-OR
"Deering, Regan","$6,000",R-IL
"Houchin, Erin","$6,000",R-IN
"Kreiselmaier, Elizabeth","$6,000",R-WA
"Becker, April","$5,768",R-NV
"Burns, Bob","$5,768",R-NH
"Majewski, J R","$5,768",R-OH
"Robertson, Mark","$5,768",R-NV
"Pekau, Keith","$5,600",R-IL
"Gibbs, John","$5,520",R-MI
"Kiggans, Jen","$5,518",R-VA
"Smith, Sandy","$5,510",R-NC
"Singletary, La'Ron","$5,500",R-NY
"Lauf, Catalina","$5,250",R-IL
"Emmer, Tom","$5,010",R-MN
"Erickson, Mike","$5,000",R-OR
"Finstad, Brad","$5,000",R-MN
"Garcia Holmes, Michelle","$5,000",R-NM
"Gavarone, Theresa","$5,000",R-OH
"Harwell, Beth","$5,000",R-TN
"Hawkins, Brian","$5,000",R-CA
"Johnson, Alexis","$5,000",R-NM
"Letlow, Julia","$5,000",R-LA
"Moore, Scotty","$5,000",R-FL
"Pallotta, Frank","$5,000",R-NJ
"Stargel, Kelli","$5,000",R-FL
"Walorski, Jackie","$5,000",R-IN
"West, Chris","$5,000",R-GA
"Harshbarger, Diana","$4,533",R-TN
"Kistner, Tyler","$3,900",R-MN
"Jordan, Jim","$3,877",R-OH
"Kim, Young","$3,387",R-CA
"Van Duyne, Beth","$3,300",R-TX
"Harris, Andy","$3,150",R-MD
"Crane, Eli","$3,018",R-AZ
"Ellzey, Jake","$3,000",R-TX
"McCarthy, Kevin","$3,000",R-CA
"McClain, Lisa","$2,815",R-MI
"Bean, Aaron","$2,768",R-FL
"Hines, Bo","$2,768",R-NC
"Hageman, Harriet","$2,725",R-WY
"France, Mike","$2,675",R-CT
"Salazar, Maria","$2,583",R-FL
"Ogles, Andy","$2,536",R-TN
"Granger, Kay","$2,500",R-TX
"Miller, Mary","$2,210",R-IL
"Bice, Stephanie","$2,000",R-OK
"Carey, Mike","$2,000",R-OH
"Lee, Laurel","$1,768",R-FL
"Buck, Ken","$1,750",R-CO
"Lesko, Debbie","$1,750",R-AZ
"Perry, Scott","$1,660",R-PA
"Foxx, Virginia","$1,550",R-NC
