Name,Amount,District
"Porter, Katie","$556,062",D-CA
"Davids, Sharice","$243,175",D-KS
"Spanberger, Abigail","$235,491",D-VA
"Luria, Elaine","$204,612",D-VA
"Underwood, Lauren A","$188,437",D-IL
"Schrier, Kim","$186,260",D-WA
"Lee, Susie","$174,007",D-NV
"Slotkin, Elissa","$171,163",D-MI
"Craig, Angie","$160,693",D-MN
"Axne, Cindy","$159,511",D-IA
"Wild, Susan","$158,959",D-PA
"Cheney, Liz","$156,451",R-WY
"Sykes, Emilia","$132,872",D-OH
"Caraveo, Yadira","$124,242",D-CO
"McBath, Lucy","$113,209",D-GA
"Budzinski, Nikki","$108,673",D-IL
"Fletcher, Lizzie","$102,955",D-TX
"Malinowski, Tom","$97,229",D-NJ
"Stansbury, Melanie","$89,404",D-NM
"Houlahan, Chrissy","$84,332",D-PA
"Titus, Dina","$79,546",D-NV
"Gordon, Jacqueline","$78,910",D-NY
"Scholten, Hillary","$78,363",D-MI
"Pelosi, Nancy","$70,860",D-CA
"Sherrill, Mikie","$67,481",D-NJ
"Stevens, Haley","$67,313",D-MI
"Kuster, Ann","$62,709",D-NH
"Hayes, Jahana","$62,544",D-CT
"Peterson, Karen Carter","$61,620",D-LA
"Bourdeaux, Carolyn","$59,198",D-GA
"Wexton, Jennifer","$57,365",D-VA
"Salinas, Andrea","$57,155",D-OR
"Mizeur, Heather","$56,189",D-MD
"Cisneros, Jessica","$55,909",D-TX
"Peltola, Mary","$55,672",D-AK
"Bohannan, Christina","$53,975",D-IA
"Letlow, Julia","$53,450",R-LA
"Newman, Marie","$51,850",D-IL
"Mathis, Liz","$51,304",D-IA
"Vallejo, Michelle","$49,357",D-TX
"Pettersen, Brittany","$48,872",D-CO
"Becker, April","$48,250",R-NV
"Hinson, Ashley","$48,220",R-IA
"Chen, Jay","$44,162",D-CA
"Fernandez, Teresa Leger","$43,666",D-NM
"Manning, Kathy","$41,200",D-NC
"Scheller, Lisa","$40,700",R-PA
"Mace, Nancy","$40,500",R-SC
"McLeod-Skinner, Jamie","$40,207",D-OR
"Salazar, Maria","$38,950",R-FL
"Engel, Kirsten","$38,175",D-AZ
"Taddeo, Annette","$37,100",D-FL
"Green, Jennifer-Ruth","$37,031",R-IN
"Fleming, Bridget","$36,790",D-NY
"Frisch, Adam","$35,770",D-CO
"De La Cruz, Monica","$35,300",R-TX
"Tranel, Monica","$35,275",D-MT
"Beutler, Jaime Herrera","$35,250",R-WA
"Steel, Michelle","$34,575",R-CA
"Brown, Shontel","$34,050",D-OH
"Schakowsky, Jan","$33,975",D-IL
"Jones, Rebekah","$32,853",D-FL
"Hoyle, Val","$31,475",D-OR
"Kim, Andy","$31,311",D-NJ
"Kaptur, Marcy","$31,300",D-OH
"Levin, Mike","$31,149",D-CA
"Van Duyne, Beth","$31,116",R-TX
"Gillen, Laura","$31,050",D-NY
"Kim, Young","$31,050",R-CA
"Russo, Allison","$30,807",D-OH
"Smith, Christy","$30,588",D-CA
"Malliotakis, Nicole","$30,500",R-NY
"Carbajal, Salud","$30,460",D-CA
"Miller-Meeks, Mariannette","$28,750",R-IA
"Chavez-Deremer, Lori","$28,450",R-OR
"Flowers, Marcus","$28,193",D-GA
"Gilbert, Madison Gesiotto","$27,575",R-OH
"Tenney, Claudia","$27,500",R-NY
"Bice, Stephanie","$27,400",R-OK
"Adkins, Amanda","$26,875",R-KS
"Houchin, Erin","$26,550",R-IN
"King, Esther Joy","$26,350",R-IL
"Shelton, Alisha","$26,290",D-NE
"Kiggans, Jen","$25,800",R-VA
"Perez, Marie Gluesenkamp","$24,262",D-WA
"Edwards, Donna","$24,200",D-MD
"Gross, Al","$22,800",I-AK
"Stefanik, Elise","$22,800",R-NY
"Spartz, Victoria","$22,650",R-IN
"Kirkmeyer, Barb","$22,180",R-CO
"Wagner, Ann","$22,100",R-MO
"Vega, Yesli","$22,075",R-VA
"Ramirez, Tina","$21,730",R-VA
"Deering, Regan","$21,500",R-IL
"Flores, Mayra","$20,900",R-TX
"Kamlager, Sydney","$19,050",D-CA
"Lynn, Eric","$19,050",D-FL
"Foxx, Virginia","$19,000",R-NC
"Strickland, Marilyn","$18,109",D-WA
"Ross, Deborah","$18,050",D-NC
"Lee, Laurel","$18,000",R-FL
"Fischbach, Michelle","$17,666",R-MN
"Wheeless, Tanya","$17,600",R-AZ
"Foushee, Valerie","$17,450",D-NC
"Garcia, Cassy","$16,900",R-TX
"Chu, Judy","$16,800",D-CA
"McClain, Lisa","$16,150",R-MI
"Jacobs, Sara","$15,900",D-CA
"Ambrose, Nicolee","$15,400",R-MD
"Schultz, Debbie Wasserman","$14,075",D-FL
"Mahmood, Asif","$13,673",D-CA
