,cycle,branch,district,forecastdate,name_D1,name_R1,winner_D1,winner_R1,tipping,timestamp
0,2022,House,WY-1,11/8/22,Lynnette GreyBull,Harriet Hageman,0.000825,0.999175,2.5e-05,00:12:39  8 Nov 2022
1,2022,House,WV-2,11/8/22,Barry Lee Wendell,Alexander X. Mooney,0.0005,0.9995,2.5e-05,00:12:39  8 Nov 2022
2,2022,House,WV-1,11/8/22,Lacy Watson,Carol Miller,0.000725,0.999275,3.75e-05,00:12:39  8 Nov 2022
4,2022,House,WI-7,11/8/22,Richard Dick Ausman,Tom Tiffany,0.006075,0.993925,0.000375,00:12:39  8 Nov 2022
6,2022,House,WI-5,11/8/22,Mike Van Someren,Scott Fitzgerald,0.0016,0.9984,7.5e-05,00:12:39  8 Nov 2022
7,2022,House,WI-4,11/8/22,Gwen Moore,Tim Rogers,0.999875,0.000125,0.0,00:12:39  8 Nov 2022
8,2022,House,WI-3,11/8/22,Brad Pfaff,Derrick Van Orden,0.1191,0.8809,0.008125,00:12:39  8 Nov 2022
9,2022,House,WI-2,11/8/22,Mark Pocan,Erik Olsen,0.99985,0.00015,1.25e-05,00:12:39  8 Nov 2022
10,2022,House,WI-1,11/8/22,Ann Roe,Bryan Steil,0.055925,0.944075,0.00345,00:12:39  8 Nov 2022
11,2022,House,WA-9,11/8/22,Adam Smith,Doug Basler,0.99965,0.00035,0.0,00:12:39  8 Nov 2022
12,2022,House,WA-8,11/8/22,Kim Schrier,Matt Larkin,0.695575,0.304425,0.0083875,00:12:39  8 Nov 2022
13,2022,House,WA-7,11/8/22,Pramila Jayapal,Cliff Moon,1.0,0.0,0.0,00:12:39  8 Nov 2022
14,2022,House,WA-6,11/8/22,Derek Kilmer,Elizabeth Kreiselmaier,0.961125,0.038875,0.00095,00:12:39  8 Nov 2022
15,2022,House,WA-5,11/8/22,Natasha Hill,Cathy McMorris Rodgers,0.016975,0.983025,0.000975,00:12:39  8 Nov 2022
16,2022,House,WA-4,11/8/22,Doug White,Dan Newhouse,0.004025,0.995975,0.0001875,00:12:39  8 Nov 2022
17,2022,House,WA-3,11/8/22,Marie Gluesenkamp Perez,Joe Kent,0.1529,0.8471,0.012775,00:12:39  8 Nov 2022
18,2022,House,WA-2,11/8/22,Rick Larsen,Dan Matthews,0.983325,0.016675,0.0002625,00:12:39  8 Nov 2022
19,2022,House,WA-1,11/8/22,Suzan DelBene,Vincent J. Cavaleri,0.9935,0.0065,0.0001375,00:12:39  8 Nov 2022
20,2022,House,WA-10,11/8/22,Marilyn Strickland,Keith R. Swank,0.9467,0.0533,0.00105,00:12:39  8 Nov 2022
21,2022,House,VT-1,11/8/22,Becca Balint,Liam Madden,0.99945,0.00055,0.0,00:12:39  8 Nov 2022
22,2022,House,VA-9,11/8/22,Taysha Lee DeVaughan,H. Morgan Griffith,0.000125,0.999875,0.0,00:12:39  8 Nov 2022
