,Unnamed: 0,branch,district,forecastdate,name,win_pct,tipping,timestamp,party,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Opponent_Disb,Cash_Advantage,Percent_Cash_Advantage,Won?,probability_difference
0,MT-1-R,House,MT-1,2022-11-08,Ryan K. Zinke,0.83195,0.0112875,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,3088634.59,-3088634.59,0.0,True,0.07133088046938607
1,AZ-1-R,House,AZ-1,2022-11-08,David Schweikert,0.8365,0.010175,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,2550588.79,-2550588.79,0.0,True,0.07003264873722714
2,CA-13-R,House,CA-13,2022-11-08,John Duarte,0.35345,0.0093,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,2335746.28,-2335746.28,0.0,True,0.06928038866066108
3,NY-22-R,House,NY-22,2022-11-08,Brandon M. Williams,0.46195,0.0152375,00:12:39  8 Nov 2022,R,0,941403.42,917239.48,24163.94,3046247.6,-2129008.12,0.2314223464051256,True,0.06713431684861676
4,NY-17-R,House,NY-17,2022-11-08,Michael V. Lawler,0.362275,0.0095875,00:12:39  8 Nov 2022,R,0,1553320.59,1514858.94,38461.65,6827722.28,-5312863.34,0.1815815633138061,True,0.06513730530499187
5,VA-2-R,House,VA-2,2022-11-08,Jen A. Kiggans,0.43425,0.0130375,00:12:39  8 Nov 2022,R,0,3485709.65,3460199.07,25510.58,10655436.08,-7195237.01,0.2451323679898314,True,0.06439728540994427
6,AK-1-R,House,AK-1,2022-11-08,Sarah Palin,0.350875,0.008475,00:12:39  8 Nov 2022,R,0,1971160.93,1924781.35,46379.58,7060033.09,-5135251.74,0.2142260547341921,False,0.06134794325482343
7,CA-9-R,House,CA-9,2022-11-08,Tom Patti,0.324875,0.0083875,00:12:39  8 Nov 2022,R,0,1627893.83,1585048.49,42845.34,8913422.09,-7328373.6,0.1509789905035863,False,0.06110065490608382
8,CT-5-R,House,CT-5,2022-11-08,George Logan,0.416925,0.0125,00:12:39  8 Nov 2022,R,0,1297352.41,1285255.66,12096.75,3449248.45,-2163992.79,0.2714657396294878,False,0.05990716935498033
9,NV-4-R,House,NV-4,2022-11-08,Sam Peters,0.357075,0.0096375,00:12:39  8 Nov 2022,R,0,1964059.59,1930637.8,36958.07,5389863.42,-3459225.62,0.26373027501524,False,0.05760064582159538
10,MD-6-R,House,MD-6,2022-11-08,Neil C. Parrott,0.2967,0.0083875,00:12:39  8 Nov 2022,R,0,1098843.33,1198000.46,20730.86,13034603.23,-11836602.77,0.0841729655440156,False,0.05746474227402053
11,MN-2-R,House,MN-2,2022-11-08,Tyler Kistner,0.369025,0.010925,00:12:39  8 Nov 2022,R,0,3409854.76,3338988.09,104878.34,8802531.65,-5463543.5600000005,0.2750057786423365,False,0.05725104227455696
12,IA-3-R,House,IA-3,2022-11-08,Zach Nunn,0.54725,0.0149375,00:12:39  8 Nov 2022,R,0,2633465.87,2532398.21,101067.66,7246582.43,-4714184.22,0.2589634137981073,True,0.05657967629076255
13,WA-8-R,House,WA-8,2022-11-08,Matt Larkin,0.304425,0.0083875,00:12:39  8 Nov 2022,R,0,2810552.79,2806614.15,3938.64,11003511.0,-8196896.85,0.2032287267143266,False,0.05587550276166184
14,VA-7-R,House,VA-7,2022-11-08,Yesli I. Vega,0.348275,0.0105875,00:12:39  8 Nov 2022,R,0,3679371.94,3591973.51,87398.43,9384948.4,-5792974.890000001,0.2767970351452935,False,0.05556402866883445
15,MI-3-R,House,MI-3,2022-11-08,John Gibbs,0.37955,0.0108125,00:12:39  8 Nov 2022,R,0,1686030.12,1684742.38,1287.74,3823393.12,-2138650.74,0.3058643673526187,False,0.05381924355952128
16,MI-7-R,House,MI-7,2022-11-08,Tom Barrett,0.283025,0.00845,00:12:39  8 Nov 2022,R,0,2834508.15,2829219.04,5289.11,11412393.58,-8583174.54,0.1986586151084342,False,0.05296594809638665
17,FL-27-D,House,FL-27,2022-11-08,Annette Taddeo,0.293525,0.0133,00:12:39  8 Nov 2022,D,0,1948584.41,1934754.1,13830.31,5639309.43,-3704555.33,0.2554446622129139,False,0.0517649284196825
18,OH-9-R,House,OH-9,2022-11-08,J.R. Majewski,0.282,0.0073,00:12:39  8 Nov 2022,R,0,1185047.37,1178921.69,6125.68,3779217.76,-2600296.07,0.2377750165941783,False,0.05126220162042984
19,FL-23-R,House,FL-23,2022-11-08,Joe Budd,0.255025,0.00575,00:12:39  8 Nov 2022,R,0,171383.71,171126.62,257.09,1670073.61,-1498946.9900000002,0.0929429712269805,False,0.0499119594836427
20,MI-8-R,House,MI-8,2022-11-08,Paul Junge,0.3309,0.008775,00:12:39  8 Nov 2022,R,0,3108702.53,3026898.7,92281.22,6387568.54,-3360669.84,0.3215156655003666,False,0.049634569456504324
21,TX-15-D,House,TX-15,2022-11-08,Michelle Vallejo,0.36065,0.012275,00:12:39  8 Nov 2022,D,0,2346631.22,2334914.06,11717.16,4643522.35,-2308608.29,0.334589859793535,False,0.04927123824960106
22,CO-7-R,House,CO-7,2022-11-08,Erik Aadland,0.324275,0.008725,00:12:39  8 Nov 2022,R,0,1525113.68,1503919.88,21193.8,2923256.58,-1419336.7000000002,0.3397018152739274,False,0.04723633315612655
23,IL-13-R,House,IL-13,2022-11-08,Regan Deering,0.33205,0.0089,00:12:39  8 Nov 2022,R,0,2096672.96,2092016.01,4656.95,3891764.35,-1799748.34,0.3496144383882432,False,0.0463906159891877
24,AZ-4-R,House,AZ-4,2022-11-08,Kelly Cooper,0.263175,0.0067625,00:12:39  8 Nov 2022,R,0,2342076.93,2283332.74,58744.19,5324884.85,-3041552.1099999994,0.3001140165866366,False,0.04577668907618632
25,CA-21-R,House,CA-21,2022-11-08,Michael Maher,0.22965,0.0056875,00:12:39  8 Nov 2022,R,0,311788.67,309564.79,2223.88,2055957.67,-1746392.88,0.1308652930735648,False,0.04568614497438993
26,PA-10-D,House,PA-10,2022-11-08,Shamaine Daniels,0.227075,0.012175,00:12:39  8 Nov 2022,D,0,414294.52,412696.48,1598.04,3038350.12,-2625653.64,0.1195858902629712,False,0.04526666617238559
27,PA-8-R,House,PA-8,2022-11-08,Jim Bognet,0.318425,0.0096875,00:12:39  8 Nov 2022,R,0,3017514.63,3054918.96,96082.57,5480325.39,-2425406.43,0.3579181608315642,False,0.04485358647789861
28,ME-2-R,House,ME-2,2022-11-08,Bruce Poliquin,0.334475,0.0097375,00:12:39  8 Nov 2022,R,0,3671939.64,3566162.78,105776.86,6164855.73,-2598692.9500000007,0.3664737433533049,False,0.044278644145288926
29,NY-19-R,House,NY-19,2022-11-08,Marcus Molinaro,0.297475,0.0085,00:12:39  8 Nov 2022,R,0,2491602.09,2429587.14,62014.95,4177164.41,-1747577.27,0.3677430763988695,True,0.04281884453317483
30,NV-3-R,House,NV-3,2022-11-08,April Becker,0.60685,0.016025,00:12:39  8 Nov 2022,R,0,2488761.16,2448390.9,40370.26,6328742.98,-3880352.080000001,0.2789510714401909,False,0.04233628857059424
31,FL-13-D,House,FL-13,2022-11-08,Eric Lynn,0.333125,0.016675,00:12:39  8 Nov 2022,D,0,2247469.3,2086313.83,301527.12,3382885.75,-1296571.92,0.3814660261492962,False,0.042190833170363484
32,CA-27-D,House,CA-27,2022-11-08,Christy Smith,0.472125,0.0134875,00:12:39  8 Nov 2022,D,0,3949504.79,4067086.96,51825.48,7453974.99,-3386888.0300000003,0.3530132011832468,False,0.04188843592346103
33,GA-2-R,House,GA-2,2022-11-08,Chris West,0.18705,0.005075,00:12:39  8 Nov 2022,R,0,1020600.4,999760.44,20839.96,3164744.31,-2164983.87,0.2400670667982789,False,0.038741822722858116
34,VA-10-R,House,VA-10,2022-11-08,Hung Cao,0.20745,0.0050625,00:12:39  8 Nov 2022,R,0,3304902.6,3212421.81,92480.79,5764903.14,-2552481.33,0.3578373098770364,False,0.03721491706110368
35,IA-2-D,House,IA-2,2022-11-08,Liz Mathis,0.208175,0.0110125,00:12:39  8 Nov 2022,D,0,4218654.84,4209079.33,9575.51,7240153.62,-3031074.29,0.3676298096458942,False,0.03673985963032285
36,MI-10-D,House,MI-10,2022-11-08,Carl J. Marlinga,0.166825,0.0109375,00:12:39  8 Nov 2022,D,0,1059983.76,1054077.39,5906.37,6158678.0,-5104600.61,0.1461407372086134,False,0.03634587247361847
37,IL-8-R,House,IL-8,2022-11-08,Chris Dargis,0.169775,0.0042875,00:12:39  8 Nov 2022,R,0,545818.55,542959.18,2859.37,5739545.67,-5196586.49,0.086423996950834,False,0.036210471164619874
38,MN-3-D,House,MN-3,2022-11-08,Dean Phillips,0.96375,0.0006375,00:12:39  8 Nov 2022,D,0,0.0,0.0,0.0,674472.35,-674472.35,0.0,True,0.03611532155866415
39,IA-1-D,House,IA-1,2022-11-08,Christina Bohannan,0.214675,0.012525,00:12:39  8 Nov 2022,D,0,3197822.62,3168097.69,29724.93,5035997.48,-1867899.7900000005,0.3861605240252229,False,0.0361084239367082
40,AZ-6-D,House,AZ-6,2022-11-08,Kirsten Engel,0.294075,0.0149625,00:12:39  8 Nov 2022,D,0,2473877.8,2472572.43,1305.37,3344411.15,-871838.7199999997,0.4250609265085806,False,0.035819647299116936
41,NY-2-D,House,NY-2,2022-11-08,Jackie Gordon,0.17285,0.0096875,00:12:39  8 Nov 2022,D,0,1752171.46,1737968.22,31601.05,3385888.91,-1647920.6900000002,0.3391913895928632,False,0.03477847610635766
42,NJ-3-R,House,NJ-3,2022-11-08,Bob Healey,0.188475,0.0046875,00:12:39  8 Nov 2022,R,0,4713439.44,4652465.77,60973.67,7536464.94,-2883999.170000001,0.3816959732311087,False,0.034360386169804066
43,FL-15-D,House,FL-15,2022-11-08,Alan M. Cohn,0.176525,0.0119875,00:12:39  8 Nov 2022,D,0,825897.45,856713.15,2040.51,1475852.5,-619139.35,0.3672836175050422,False,0.03404013806846244
44,NY-18-R,House,NY-18,2022-11-08,Colin J. Schmitt,0.1551,0.00375,00:12:39  8 Nov 2022,R,0,2062676.07,2060312.62,2363.45,4734128.11,-2673815.49,0.303235056699067,False,0.03390015578865635
45,CA-45-D,House,CA-45,2022-11-08,Jay F. Chen,0.21565,0.0087375,00:12:39  8 Nov 2022,D,0,5037026.06,5100737.36,10014.25,7112137.89,-2011400.5299999996,0.4176524573932744,False,0.033891101038329735
46,NC-14-R,House,NC-14,2022-11-08,Pat Harrigan,0.16045,0.0037375,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,5627111.53,-5627111.53,0.0,False,0.033423876897264886
47,CA-47-R,House,CA-47,2022-11-08,Scott Baugh,0.143875,0.0031625,00:12:39  8 Nov 2022,R,0,3145463.28,3131956.39,13506.89,28858404.73,-25726448.34,0.0979031270779227,False,0.03277564321684882
48,NY-25-R,House,NY-25,2022-11-08,La'Ron D. Singletary,0.130975,0.0031375,00:12:39  8 Nov 2022,R,0,710075.2,709806.57,268.63,2358596.07,-1648789.5,0.231327714540097,False,0.03191273278997534
49,NJ-5-R,House,NJ-5,2022-11-08,Frank T. Pallotta,0.127425,0.0033,00:12:39  8 Nov 2022,R,0,982795.94,1003525.98,2598.14,3826861.38,-2823335.4,0.2077526925294041,False,0.03150212604223767
50,NM-2-D,House,NM-2,2022-11-08,Gabriel Vasquez,0.311075,0.0191125,00:12:39  8 Nov 2022,D,0,3687697.99,3664921.26,22776.73,4378712.91,-713791.6500000004,0.4556300277390661,True,0.031186890597650785
51,CA-26-R,House,CA-26,2022-11-08,Matt Jacobs,0.12875,0.0028375,00:12:39  8 Nov 2022,R,0,2655736.79,2610882.38,44854.41,5211001.12,-2600118.74,0.3337920310370257,False,0.03057790328283083
52,WI-3-D,House,WI-3,2022-11-08,Brad Pfaff,0.1191,0.008125,00:12:39  8 Nov 2022,D,0,1890260.75,1873293.31,16967.44,6315254.23,-4441960.92,0.2287699132049002,False,0.030541982787975354
53,TX-28-R,House,TX-28,2022-11-08,Cassy Garcia,0.129125,0.0027,00:12:39  8 Nov 2022,R,0,3485707.38,3425461.24,60246.14,6217540.75,-2792079.51,0.3552276815406942,False,0.030133962181588522
54,FL-2-D,House,FL-2,2022-11-08,Al Lawson,0.122175,0.0099125,00:12:39  8 Nov 2022,D,0,829346.62,946380.51,50357.7,1957659.76,-1011279.25,0.3258840863112411,False,0.030077382032786697
55,OR-6-D,House,OR-6,2022-11-08,Andrea Salinas,0.318225,0.0170625,00:12:39  8 Nov 2022,D,0,3405187.33,3398902.83,6284.5,3953687.35,-554784.52,0.4622728517149585,True,0.02985946291597044
56,NH-2-R,House,NH-2,2022-11-08,Robert Burns,0.121875,0.0023875,00:12:39  8 Nov 2022,R,0,401645.82,399327.75,2318.07,5376445.11,-4977117.36,0.0691384096430689,False,0.029539660994578425
57,CA-49-R,House,CA-49,2022-11-08,Brian Maryott,0.1909,0.004625,00:12:39  8 Nov 2022,R,0,5591297.83,5599337.33,3704.52,6516425.87,-917088.54,0.4621530841738472,False,0.029129771496103005
58,KS-3-R,House,KS-3,2022-11-08,Amanda L. Adkins,0.11075,0.0024,00:12:39  8 Nov 2022,R,0,3854560.75,3869766.08,27504.29,8309622.97,-4439856.89,0.3177307222976016,False,0.029069432577283214
59,MI-5-R,House,MI-5,2022-11-08,Tim Walberg,0.997875,0.0001,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,161457.23,-161457.23,0.0,True,0.02882127655752964
60,IL-6-R,House,IL-6,2022-11-08,Keith Pekau,0.10335,0.002475,00:12:39  8 Nov 2022,R,0,1514693.19,1511416.37,3276.82,5869181.71,-4357765.34,0.2047823704281699,False,0.028712914252546642
61,NE-2-D,House,NE-2,2022-11-08,Tony Vargas,0.1706,0.0114,00:12:39  8 Nov 2022,D,0,3409925.52,3356537.29,53388.23,3990000.64,-633463.3500000001,0.4568869475638847,False,0.028613208938080226
62,MI-9-R,House,MI-9,2022-11-08,Lisa McClain,0.999275,3.75e-05,00:12:39  8 Nov 2022,R,0,0.0,0.0,0.0,47153.38,-47153.38,0.0,True,0.028543202413561786
63,CO-3-D,House,CO-3,2022-11-08,Adam Frisch,0.169675,0.01005,00:12:39  8 Nov 2022,D,0,6710480.34,6345170.07,365310.27,7440187.29,-1095017.2199999995,0.4602833212297661,False,0.028330444677877237
64,NC-6-R,House,NC-6,2022-11-08,Christian Castelli,0.091475,0.0022875,00:12:39  8 Nov 2022,R,0,928501.85,921812.3,6689.55,3149872.23,-2228059.93,0.2263958057673981,False,0.027487079258434167
65,IL-14-R,House,IL-14,2022-11-08,Scott R. Gryder,0.1009,0.002275,00:12:39  8 Nov 2022,R,0,658298.5,645059.05,13239.45,6640024.95,-5994965.9,0.0885451766925405,False,0.027314981922549775
66,CA-40-D,House,CA-40,2022-11-08,Asif Mahmood,0.081275,0.005625,00:12:39  8 Nov 2022,D,0,3703609.48,3684772.77,18836.71,9349804.28,-5665031.51,0.2826921622286164,False,0.02642625303206287
67,PA-1-D,House,PA-1,2022-11-08,Ashley Ehasz,0.078075,0.0058125,00:12:39  8 Nov 2022,D,0,970541.94,964394.38,6147.56,3148642.09,-2184247.71,0.234472606074412,False,0.02611065579112818
68,OH-7-D,House,OH-7,2022-11-08,Matthew Diemer,0.0899,0.0042875,00:12:39  8 Nov 2022,D,0,276778.53,276778.53,0.0,2972790.21,-2696011.68,0.0851739268023608,False,0.0260201571556383
69,PA-12-R,House,PA-12,2022-11-08,Mike Doyle,0.08655,0.0019625,00:12:39  8 Nov 2022,R,0,205104.56,205104.56,0.0,1827312.18,-1622207.62,0.1009165866248474,False,0.025869816115975466
70,FL-28-D,House,FL-28,2022-11-08,Robert Asencio,0.089425,0.0054,00:12:39  8 Nov 2022,D,0,124784.97,123518.93,-15282.84,1463050.05,-1339531.12,0.0778528583106421,False,0.025860226113848226
71,NY-4-R,House,NY-4,2022-11-08,Anthony P. D'Esposito,0.47585,0.010075,00:12:39  8 Nov 2022,R,0,1325986.26,1303519.59,22466.67,1822130.79,-518611.2,0.4170394738774335,True,0.025700751986461323
72,NY-11-D,House,NY-11,2022-11-08,Max N. Rose,0.12665,0.0088875,00:12:39  8 Nov 2022,D,0,4099084.97,4091798.14,7286.83,4614769.99,-522971.8500000001,0.4699668203251055,False,0.025517851651433568
